MatchID,MMR_Difference,Latency_ms,MatchDurationMinutes,QuitRate,FairnessScore
1610055,152.2,44.3,62.7,45.1,8.6
1610056,82.8,97.3,39.2,7.7,7.3
1610057,132.6,85.5,27.0,29.4,5.2
1610058,86.2,92.2,30.8,61.9,6.4
1610059,139.8,153.6,34.0,21.6,3.4
1610060,93.6,136.4,29.4,63.4,8.3
1610061,101.2,127.5,45.2,77.5,9.3
1610062,76.4,113.1,26.7,44.5,5.1
1610063,88.6,104.2,17.7,66.5,7.0
1610064,96.2,82.3,52.6,57.7,8.7
1610065,84.8,99.6,55.2,56.9,7.3
1610066,77.1,96.4,25.8,57.1,7.1
1610067,66.6,96.0,57.2,44.3,8.4
1610068,102.4,77.8,45.8,32.1,7.8
1610069,88.0,57.5,23.2,51.2,7.0
1610070,121.6,126.9,27.8,43.4,7.4
1610071,56.6,112.5,48.6,43.3,10.0
1610072,111.0,113.2,38.4,22.7,7.7
1610073,102.4,118.3,64.6,39.0,8.6
1610074,36.6,120.0,30.2,44.5,6.1
1610075,101.0,83.3,62.0,49.4,7.9
1610076,137.7,114.0,39.0,33.7,7.0
1610077,146.4,156.6,57.0,50.7,3.8
1610078,84.3,151.1,59.8,37.0,8.7
1610079,89.3,75.8,50.9,22.1,5.7
1610080,106.3,55.0,22.9,3.6,8.3
1610081,101.9,103.2,41.1,18.4,6.6
1610082,60.9,128.7,41.3,33.1,8.4
1610083,94.8,109.7,64.1,47.9,7.2
1610084,88.2,91.2,49.0,41.3,7.7
1610085,107.0,99.6,43.4,43.3,8.1
1610086,97.5,110.7,72.9,52.4,8.2
1610087,158.8,108.1,23.4,48.6,5.9
1610088,158.6,79.1,27.2,63.9,6.1
1610089,96.3,91.3,45.8,37.9,5.7
1610090,167.0,96.9,51.2,70.7,3.1
1610091,62.5,61.2,31.1,52.3,7.5
1610092,80.2,120.6,53.0,32.4,3.3
1610093,152.5,114.3,85.4,35.3,4.1
1610094,102.0,83.8,51.8,63.2,9.9
1610095,100.4,98.9,54.0,48.6,7.1
1610096,125.0,48.3,43.3,35.3,5.0
1610097,88.1,75.6,29.1,54.2,6.1
1610098,103.1,121.1,32.4,68.6,5.6
1610099,145.6,131.9,42.1,53.1,5.2
1610100,39.0,106.6,24.9,49.6,6.6
1610101,161.5,104.2,68.5,22.0,7.7
1610102,125.8,47.8,54.1,56.6,5.9
1610103,110.6,113.8,31.4,26.7,7.4
1610104,120.9,109.4,44.9,40.3,6.0
1610105,104.6,96.0,43.9,27.0,9.4
1610106,,110.2,51.7,54.2,9.1
1610107,94.0,88.7,44.8,41.8,7.8
1610108,90.0,105.4,39.8,44.8,5.5
1610109,125.1,55.9,43.8,55.7,5.6
1610110,107.8,135.0,41.8,17.2,7.1
1610111,94.0,129.9,64.5,17.2,9.6
1610112,93.3,77.7,46.1,44.3,6.0
1610113,,151.7,66.4,64.4,5.6
1610114,115.8,73.9,36.3,62.4,7.0
1610115,114.6,101.7,38.9,31.7,6.8
1610116,87.7,152.7,66.5,40.5,7.2
1610117,78.0,93.0,35.9,49.0,7.0
1610118,53.5,96.9,71.4,51.1,7.3
1610119,75.9,117.5,45.7,71.8,5.5
1610120,89.5,79.2,48.4,48.8,6.2
1610121,113.8,31.5,41.9,34.9,6.2
1610122,64.4,109.9,51.1,53.4,5.6
1610123,64.3,114.3,52.9,24.4,8.5
1610124,82.2,67.7,28.7,39.3,9.5
1610125,99.7,102.6,37.8,59.3,9.0
1610126,108.0,80.0,43.8,41.3,4.2
1610127,102.5,148.3,37.3,64.1,7.5
1610128,75.1,107.7,31.5,31.2,5.9
1610129,85.0,62.9,45.4,27.2,7.0
1610130,95.8,111.8,28.2,41.7,6.3
1610131,55.8,102.1,15.9,40.8,8.0
1610132,114.6,118.4,68.3,64.7,6.8
1610133,98.7,68.9,38.4,64.0,8.3
1610134,114.3,88.1,51.1,33.9,7.9
1610135,120.4,101.7,59.3,56.8,6.8
1610136,64.0,53.5,50.6,63.5,7.7
1610137,103.7,79.1,50.6,56.1,5.7
1610138,76.8,96.3,52.5,32.9,8.2
1610139,139.2,124.5,28.6,45.8,6.4
1610140,101.8,75.2,30.7,59.2,6.8
1610141,114.6,117.5,46.9,40.2,6.7
1610142,94.5,118.4,53.4,48.7,4.0
1610143,79.2,78.5,42.6,34.6,7.4
1610144,74.1,101.7,42.1,58.8,7.2
1610145,78.4,63.4,42.1,62.7,8.5
1610146,147.3,101.9,55.2,23.8,5.9
1610147,98.1,72.5,69.0,61.8,1.7
1610148,90.0,111.8,20.1,47.8,8.6
1610149,102.6,59.6,25.6,42.2,8.0
1610150,123.1,75.1,58.2,41.9,6.5
1610151,67.2,101.3,69.6,61.9,8.0
1610152,109.9,119.5,42.4,21.1,5.2
1610153,90.0,48.9,76.2,30.9,7.3
1610154,136.2,114.3,44.6,10.9,5.6
1610155,129.3,83.3,30.3,51.3,7.9
1610156,93.9,65.3,54.2,43.1,7.9
1610157,67.2,116.8,28.8,22.5,7.5
1610158,82.0,109.3,43.8,30.5,6.9
1610159,,107.4,18.6,67.9,6.7
1610160,98.8,40.4,42.2,42.8,6.8
1610161,85.5,108.3,49.5,25.2,9.8
1610162,69.3,119.9,51.4,27.8,6.6
1610163,94.0,95.2,42.7,39.0,7.7
1610164,109.4,99.7,25.7,23.8,7.7
1610165,102.5,122.4,45.9,33.8,7.7
1610166,140.7,126.6,37.1,35.8,7.4
1610167,87.1,62.3,73.5,49.1,7.2
1610168,139.6,76.9,41.9,44.7,8.7
1610169,79.6,88.7,57.6,77.8,5.6
1610170,54.0,100.2,39.3,63.5,7.0
1610171,75.2,54.4,80.3,21.2,5.3
1610172,59.5,108.9,71.8,35.1,6.0
1610173,105.6,96.8,39.9,59.4,8.5
1610174,,108.3,29.3,65.6,10.0
1610175,86.7,110.6,32.2,43.8,8.6
1610176,115.0,63.7,32.2,39.3,8.8
1610177,79.8,104.9,48.3,63.8,4.6
1610178,119.9,104.7,56.7,44.8,9.5
1610179,113.5,138.0,50.1,38.9,6.6
1610180,101.8,76.0,33.7,66.1,8.0
1610181,116.6,103.5,42.8,63.3,5.4
1610182,106.9,139.0,31.5,41.3,6.1
1610183,,87.0,39.9,50.5,8.1
1610184,117.4,122.8,21.4,53.4,7.2
1610185,95.6,104.0,29.4,61.9,7.5
1610186,122.5,117.4,45.1,52.3,6.2
1610187,120.7,106.9,65.4,55.7,8.4
1610188,146.4,100.8,45.1,24.7,5.4
1610189,122.3,105.4,70.8,43.3,6.1
1610190,71.1,117.7,32.3,71.0,7.6
1610191,108.4,85.0,39.3,49.9,7.7
1610192,120.7,60.9,80.0,26.7,5.2
1610193,83.9,82.0,46.9,44.1,7.7
1610194,76.9,129.4,71.5,80.9,4.7
1610195,114.2,66.7,41.6,26.1,6.8
1610196,136.3,129.7,37.7,30.7,7.1
1610197,62.7,112.6,38.2,51.2,5.1
1610198,111.7,93.6,47.9,39.3,8.5
1610199,93.4,128.5,39.1,32.3,5.0
1610200,82.8,120.1,46.0,56.5,7.7
1610201,101.4,122.0,54.5,39.2,6.8
1610202,139.8,85.9,63.3,63.9,7.6
1610203,113.3,128.1,46.3,51.9,10.0
1610204,62.4,88.0,35.5,27.8,6.8
1610205,129.6,117.1,43.2,58.5,6.8
1610206,106.3,121.7,24.3,34.3,4.9
1610207,74.9,102.2,49.6,48.8,6.9
1610208,106.0,106.8,45.2,30.0,7.7
1610209,128.1,114.6,36.0,55.3,8.5
1610210,149.9,78.6,64.7,20.7,7.4
1610211,92.7,63.0,33.0,46.7,6.8
1610212,133.1,99.8,63.1,9.3,7.6
1610213,119.7,115.1,53.9,36.3,6.6
1610214,110.3,108.4,32.6,20.6,4.7
1610215,111.2,68.3,47.5,37.7,7.8
1610216,89.3,128.5,27.7,32.4,8.6
1610217,107.0,101.8,64.9,22.8,5.1
1610218,117.5,117.9,37.0,56.8,7.7
1610219,85.2,136.8,24.9,39.5,6.1
1610220,105.8,91.6,39.3,36.3,8.2
1610221,73.4,79.9,21.3,45.0,4.7
1610222,50.4,134.7,45.0,30.8,9.3
1610223,99.4,85.1,57.5,37.9,7.1
1610224,149.6,112.3,53.9,39.0,7.4
1610225,100.6,108.0,69.4,61.9,5.8
1610226,73.9,115.3,60.2,57.5,9.4
1610227,83.9,125.7,27.9,73.3,6.5
1610228,87.0,68.8,58.7,30.3,7.6
1610229,98.4,104.7,12.6,9.1,4.9
1610230,102.1,114.7,61.3,65.9,5.8
1610231,83.9,151.4,60.1,43.4,5.1
1610232,126.8,69.4,50.2,37.7,7.4
1610233,64.8,123.0,49.4,38.8,4.6
1610234,98.8,100.1,44.4,64.5,7.9
1610235,86.9,128.8,66.1,65.9,5.6
1610236,115.7,99.3,62.9,43.1,6.5
1610237,87.9,98.1,85.7,46.5,6.3
1610238,157.9,116.5,53.2,18.1,5.9
1610239,119.4,116.3,61.8,73.6,7.8
1610240,79.8,84.0,32.5,42.7,9.9
1610241,97.7,95.6,62.0,26.4,4.4
1610242,109.8,94.3,39.9,24.4,7.7
1610243,62.2,136.5,26.4,38.6,8.7
1610244,72.8,74.1,73.8,32.3,5.7
1610245,113.3,113.6,22.8,56.9,6.6
1610246,88.8,132.5,8.8,35.9,6.4
1610247,63.6,75.8,61.5,47.9,8.3
1610248,99.6,123.6,62.8,59.1,6.4
1610249,98.8,120.8,39.2,34.8,5.8
1610250,94.2,112.6,53.2,39.5,8.3
1610251,72.8,59.7,39.2,5.9,6.9
1610252,51.9,118.9,45.6,46.5,6.0
1610253,109.5,61.3,48.6,54.6,7.3
1610254,73.1,150.3,66.9,79.6,6.6
1610255,148.0,129.2,67.8,27.5,7.4
1610256,122.7,117.6,50.2,48.8,9.8
1610257,82.8,118.1,65.4,74.7,8.3
1610258,105.6,112.0,30.2,20.4,7.7
1610259,102.0,88.4,22.1,66.7,5.9
1610260,90.5,129.1,53.9,46.0,7.7
1610261,111.4,82.4,28.3,52.2,7.1
1610262,70.8,106.8,49.3,33.9,8.5
1610263,110.5,120.1,45.2,21.7,7.7
1610264,106.9,84.5,45.0,40.3,7.0
1610265,90.1,106.1,55.1,65.6,7.3
1610266,95.1,74.7,57.7,39.4,7.6
1610267,57.6,101.2,49.9,24.7,6.1
1610268,101.5,90.4,39.1,34.4,7.0
1610269,135.4,110.5,58.5,34.8,5.3
1610270,88.2,89.3,51.1,30.5,8.8
1610271,102.7,143.8,54.1,39.5,5.2
1610272,56.2,89.1,60.7,56.6,5.5
1610273,77.8,129.3,62.3,22.1,6.6
1610274,71.5,92.8,69.6,38.5,4.3
1610275,88.5,112.1,84.8,44.7,5.4
1610276,52.8,60.4,46.4,50.2,8.4
1610277,95.7,128.5,49.1,30.9,8.1
1610278,55.9,68.3,65.6,71.5,7.1
1610279,69.1,97.5,50.8,62.2,6.1
1610280,88.6,106.3,56.7,26.8,8.1
1610281,50.2,58.2,57.9,30.5,6.7
1610282,90.6,90.0,50.5,34.3,4.3
1610283,110.5,92.0,50.5,48.8,5.8
1610284,107.5,77.9,53.9,55.9,5.4
1610285,135.1,87.6,35.4,64.5,10.0
1610286,147.6,76.1,46.9,69.6,7.7
1610287,74.1,111.9,61.0,29.0,9.3
1610288,73.6,100.0,51.4,45.1,10.0
1610289,60.0,51.0,49.8,57.1,6.0
1610290,74.3,84.5,51.6,18.5,5.6
1610291,102.8,58.4,76.3,37.2,7.4
1610292,105.2,92.4,59.6,38.1,9.1
1610293,103.1,142.3,32.1,72.0,6.1
1610294,119.3,128.6,39.3,32.6,5.7
1610295,63.4,116.2,28.5,50.2,7.3
1610296,135.7,99.2,43.1,40.2,8.2
1610297,62.7,139.7,24.7,19.7,6.8
1610298,83.6,79.8,37.9,38.2,6.9
1610299,64.9,102.9,41.4,48.3,8.7
1610300,58.5,80.5,21.5,50.8,6.9
1610301,113.8,120.5,56.8,29.5,6.7
1610302,146.3,94.6,14.8,41.8,6.3
1610303,88.9,66.5,30.2,56.2,8.3
1610304,86.3,100.1,37.6,44.5,6.0
1610305,88.2,113.1,61.1,53.2,7.2
1610306,108.4,82.5,22.4,51.7,7.5
1610307,51.4,105.6,33.2,70.1,8.9
1610308,126.0,109.3,68.9,32.4,7.6
1610309,69.3,106.6,33.6,44.1,6.7
1610310,103.9,119.6,61.7,16.1,8.6
1610311,104.3,79.7,30.3,32.1,6.2
1610312,107.5,87.8,38.4,23.7,10.0
1610313,99.9,131.6,45.1,41.6,6.7
1610314,118.1,146.5,35.3,21.0,7.2
1610315,155.4,111.6,60.8,58.7,5.9
1610316,90.3,119.7,56.7,23.6,5.3
1610317,96.1,58.1,32.7,40.5,8.5
1610318,122.6,109.4,49.1,31.6,6.7
1610319,118.6,95.1,54.7,45.0,6.6
1610320,122.1,95.2,36.0,30.2,8.8
1610321,102.0,124.2,23.5,41.6,9.9
1610322,92.5,101.0,27.4,47.6,5.3
1610323,119.5,58.4,3.8,61.5,7.9
1610324,118.7,118.1,61.9,38.8,5.5
1610325,113.3,113.7,29.4,57.7,6.0
1610326,119.2,102.3,48.5,42.3,7.0
1610327,83.2,103.3,24.0,50.6,5.3
1610328,85.0,44.5,48.3,31.3,8.0
1610329,106.4,123.4,51.6,38.1,8.2
1610330,92.0,91.0,64.0,78.9,7.4
1610331,87.2,108.1,74.7,49.4,8.8
1610332,68.6,67.2,57.7,36.5,7.7
1610333,105.3,105.7,16.0,37.6,6.4
1610334,100.2,91.4,45.6,53.1,6.9
1610335,90.7,79.4,48.3,67.1,8.5
1610336,65.5,107.2,50.5,39.7,7.3
1610337,105.0,171.0,43.6,50.6,6.3
1610338,120.7,99.1,33.9,60.5,7.1
1610339,61.5,108.7,61.1,63.1,8.6
1610340,73.0,90.9,54.8,44.7,7.0
1610341,101.1,93.7,31.5,49.0,7.2
1610342,129.6,98.8,33.5,58.1,9.1
1610343,54.0,93.7,38.2,56.6,5.5
1610344,80.1,69.7,60.8,33.7,9.2
1610345,111.8,96.6,35.9,38.1,7.3
1610346,120.8,93.5,19.8,44.0,6.5
1610347,97.8,71.8,36.9,69.6,6.4
1610348,90.6,111.7,43.8,49.0,10.0
1610349,40.7,99.1,38.7,46.4,6.8
1610350,82.1,121.3,33.6,66.3,5.9
1610351,52.8,100.2,45.3,35.6,8.7
1610352,103.8,90.1,34.4,41.4,7.5
1610353,52.5,124.9,38.6,43.3,10.0
1610354,123.0,117.6,43.9,70.3,6.3
1610355,123.6,107.0,48.8,32.2,6.1
1610356,153.5,93.8,52.7,58.0,7.0
1610357,120.1,150.2,49.7,51.6,7.8
1610358,98.9,86.2,36.1,49.4,7.0
1610359,132.2,99.7,49.4,32.6,5.2
1610360,90.2,70.8,41.9,59.6,3.8
1610361,119.6,105.1,35.0,40.2,7.5
1610362,75.5,71.1,42.5,31.6,8.7
1610363,79.2,105.1,63.8,40.8,6.3
1610364,106.9,122.0,70.8,25.9,10.0
1610365,108.8,85.3,38.7,66.0,8.2
1610366,130.3,92.8,40.1,71.2,7.5
1610367,67.2,38.3,37.4,28.6,5.5
1610368,110.3,109.2,34.9,52.4,6.5
1610369,89.5,70.7,44.2,55.8,8.6
1610370,114.4,112.0,49.6,47.3,9.5
1610371,111.6,58.0,17.9,61.2,7.3
1610372,168.6,127.1,42.1,60.4,7.9
1610373,99.6,85.7,37.2,48.2,5.9
1610374,134.3,75.8,51.8,20.5,7.7
1610375,75.7,103.0,44.1,48.8,9.3
1610376,129.5,123.9,57.9,50.9,5.3
1610377,125.7,94.3,32.4,42.3,8.9
1610378,114.9,51.9,50.7,47.7,8.7
1610379,105.6,61.1,42.4,18.3,7.3
1610380,52.4,95.5,53.9,50.1,8.3
1610381,123.2,77.4,41.8,64.3,5.8
1610382,95.8,101.8,33.3,36.9,8.9
1610383,80.9,106.8,48.0,44.2,7.3
1610384,96.1,88.1,59.2,41.3,8.8
1610385,131.0,53.8,45.2,32.4,8.7
1610386,118.0,57.4,50.5,24.0,8.3
1610387,67.8,98.7,46.1,44.6,5.8
1610388,109.9,134.8,89.0,34.4,6.1
1610389,118.2,130.6,58.9,72.0,8.4
1610390,131.6,56.6,39.4,52.4,8.9
1610391,67.3,124.4,47.5,63.5,7.2
1610392,92.6,108.4,39.3,44.1,6.9
1610393,86.3,78.0,43.2,40.6,5.4
1610394,101.6,122.2,24.4,36.4,6.2
1610395,97.3,102.9,28.9,39.3,5.9
1610396,105.9,134.8,32.1,18.9,7.0
1610397,59.2,115.5,51.8,38.3,6.9
1610398,115.4,77.7,54.7,33.1,8.6
1610399,81.7,96.2,69.8,48.7,7.3
1610400,109.6,60.6,57.1,38.2,4.5
1610401,83.1,110.0,48.1,62.8,6.3
1610402,72.7,127.9,50.3,27.1,8.4
1610403,57.2,104.2,39.5,39.0,7.7
1610404,84.4,149.6,49.2,37.3,5.2
1610405,112.0,72.3,30.4,29.8,8.3
1610406,84.4,97.3,27.8,39.6,4.8
1610407,115.6,150.8,52.6,40.4,7.7
1610408,93.4,94.1,61.2,36.4,9.0
1610409,72.8,97.3,28.6,20.8,6.4
1610410,137.3,86.0,47.9,46.1,4.9
1610411,146.5,103.3,56.4,51.9,8.0
1610412,89.7,88.6,27.6,18.9,6.8
1610413,117.7,65.3,58.8,48.3,7.9
1610414,98.1,109.2,27.5,58.0,7.0
1610415,101.9,95.1,37.8,38.0,8.0
1610416,110.6,96.6,58.2,55.1,9.2
1610417,,51.3,50.8,19.2,5.5
1610418,73.3,111.2,36.1,31.3,6.2
1610419,141.9,89.3,34.1,48.6,4.2
1610420,91.4,74.7,52.6,22.0,6.7
1610421,109.6,83.0,52.1,45.9,6.8
1610422,100.0,61.2,4.5,56.2,5.5
1610423,92.3,96.1,24.2,45.1,5.0
1610424,134.2,123.2,78.1,46.6,6.3
1610425,102.8,129.1,59.1,33.8,6.7
1610426,,151.2,65.3,49.0,7.6
1610427,143.6,116.0,30.7,40.5,8.1
1610428,111.8,137.8,44.0,66.0,7.6
1610429,71.2,91.6,58.0,63.2,8.7
1610430,64.0,130.5,43.6,50.2,5.9
1610431,73.9,122.7,64.2,71.2,4.3
1610432,71.0,83.0,57.0,46.7,7.2
1610433,,55.9,28.7,46.3,5.4
1610434,82.2,117.9,46.1,41.3,4.6
1610435,123.0,148.9,48.2,51.1,6.6
1610436,82.4,108.9,48.9,31.2,5.9
1610437,101.2,77.3,49.9,51.3,8.1
1610438,76.4,85.8,59.0,42.0,8.4
1610439,80.5,89.1,55.2,56.6,7.2
1610440,66.5,92.3,47.0,50.1,7.2
1610441,128.2,92.1,55.9,22.4,7.9
1610442,98.2,120.2,53.0,62.6,8.9
1610443,179.4,131.9,31.2,78.0,10.0
1610444,96.0,112.4,51.1,32.8,8.4
1610445,130.4,110.0,40.1,21.9,8.8
1610446,96.6,126.0,27.4,59.2,7.0
1610447,91.9,79.1,69.6,25.2,7.3
1610448,52.6,79.3,52.3,24.1,8.7
1610449,92.6,56.9,32.2,44.3,6.0
1610450,102.0,129.5,29.2,32.9,8.8
1610451,51.8,92.4,31.7,51.9,9.2
1610452,81.0,110.8,14.6,33.2,7.3
1610453,132.3,97.8,42.6,58.5,8.1
1610454,96.2,72.1,63.5,38.7,4.0
1610455,75.1,103.3,39.8,49.2,8.0
1610456,143.4,105.9,62.6,61.0,5.2
1610457,103.2,53.0,26.3,60.7,7.6
1610458,110.9,96.3,40.5,52.0,6.8
1610459,115.6,121.0,40.7,71.7,10.0
1610460,141.8,137.5,72.2,52.3,5.1
1610461,106.5,102.2,20.0,59.3,8.5
1610462,120.5,99.4,35.3,33.6,7.4
1610463,91.4,99.3,21.6,79.0,9.0
1610464,104.2,90.6,52.6,37.2,6.0
1610465,128.7,129.3,51.9,27.8,8.8
1610466,64.5,69.9,24.1,64.8,7.8
1610467,150.8,101.3,71.6,34.6,5.8
1610468,101.8,105.7,23.7,39.1,6.9
1610469,87.2,110.8,50.5,36.1,7.1
1610470,100.1,119.4,36.8,36.7,6.1
1610471,143.5,112.5,48.8,50.7,5.6
1610472,81.3,107.1,53.8,17.5,9.5
1610473,111.9,68.3,25.2,23.8,6.4
1610474,70.3,78.1,44.3,31.0,7.5
1610475,93.9,91.4,61.3,35.3,5.6
1610476,92.0,120.5,58.9,67.2,7.1
1610477,88.4,131.4,15.0,38.3,8.0
1610478,106.7,79.9,23.9,59.6,8.5
1610479,71.2,126.9,32.4,53.7,7.3
1610480,95.0,119.5,48.5,47.1,6.3
1610481,72.9,148.4,53.2,25.4,8.4
1610482,125.6,105.3,42.7,60.2,5.6
1610483,70.2,114.5,44.1,41.2,8.3
1610484,62.5,91.2,37.3,46.1,6.9
1610485,65.8,100.1,34.6,38.1,6.1
1610486,89.4,119.2,36.6,63.1,6.9
1610487,70.8,43.1,28.6,48.1,8.2
1610488,105.2,110.2,24.3,65.6,6.5
1610489,110.8,75.1,66.7,37.3,8.2
1610490,110.7,88.6,69.7,59.3,4.1
1610491,90.6,126.5,32.5,58.7,6.3
1610492,114.8,126.3,51.9,44.7,8.0
1610493,64.9,143.7,39.9,30.6,7.5
1610494,133.3,101.2,45.7,27.5,7.2
1610495,120.3,61.1,61.4,52.5,7.8
1610496,156.8,109.6,28.2,50.0,7.5
1610497,,78.5,57.6,58.7,10.0
1610498,97.3,100.5,53.9,52.0,7.8
1610499,120.2,83.4,63.8,55.5,7.6
1610500,93.5,115.8,68.7,46.5,8.0
1610501,118.8,100.5,56.9,89.4,8.0
1610502,98.3,110.5,29.1,63.0,8.5
1610503,90.1,93.0,43.3,46.7,8.2
1610504,93.7,138.2,18.2,41.0,8.1
1610505,103.4,85.8,29.3,37.1,6.9
1610506,74.3,74.5,50.3,39.2,7.3
1610507,119.6,130.9,21.3,72.1,9.5
1610508,118.3,90.0,43.2,39.0,7.0
1610509,84.0,116.5,38.8,54.1,8.7
1610510,137.7,44.6,21.9,29.6,3.7
1610511,79.0,109.2,52.5,38.2,6.7
1610512,129.0,94.1,57.3,34.9,7.8
1610513,79.4,86.4,41.4,53.0,7.3
1610514,115.1,51.8,34.8,34.8,9.0
1610515,112.8,131.7,50.9,39.5,7.5
1610516,138.1,103.9,44.6,53.5,6.2
1610517,73.8,79.8,70.8,37.1,7.4
1610518,131.5,117.7,38.2,49.1,6.5
1610519,16.5,69.8,21.6,42.1,5.7
1610520,56.1,113.8,41.0,37.2,10.0
1610521,82.2,132.7,43.9,29.6,7.6
1610522,79.5,83.1,70.0,77.2,3.6
1610523,92.9,111.8,36.7,28.9,5.7
1610524,78.8,102.2,50.8,37.9,8.3
1610525,83.8,103.9,23.5,40.7,5.2
1610526,73.5,69.7,0.5,69.5,5.7
1610527,99.6,109.8,62.8,25.1,3.1
1610528,53.1,121.5,44.4,45.1,7.9
1610529,117.9,148.7,58.4,44.2,6.1
1610530,101.8,59.1,42.8,66.2,5.8
1610531,104.4,96.6,36.9,27.5,5.9
1610532,96.9,153.2,33.0,55.5,6.3
1610533,85.8,112.7,48.4,69.9,6.5
1610534,72.4,121.3,43.0,70.0,8.6
1610535,108.2,114.7,37.2,34.6,8.4
1610536,155.3,75.5,51.6,46.1,6.5
1610537,44.7,124.3,47.3,59.4,7.8
1610538,154.2,74.3,49.2,16.6,6.0
1610539,117.1,142.0,69.3,45.4,4.4
1610540,105.9,100.9,38.7,9.6,6.0
1610541,170.3,86.7,35.3,56.0,6.4
1610542,58.5,123.8,55.7,28.2,8.1
1610543,98.0,118.9,51.7,56.9,9.9
1610544,85.8,158.9,42.3,31.0,10.0
1610545,130.6,77.5,8.6,33.9,4.8
1610546,119.9,45.8,50.1,21.7,7.3
1610547,121.0,136.4,11.2,31.0,9.0
1610548,106.7,97.6,58.4,53.1,7.1
1610549,123.2,128.3,51.0,50.3,6.1
1610550,116.2,95.2,55.1,22.3,6.1
1610551,90.5,125.2,44.5,19.3,6.2
1610552,106.7,135.7,33.7,55.2,6.2
1610553,116.4,68.2,54.0,38.0,7.1
1610554,113.6,138.5,60.5,41.2,8.6
1610555,160.2,85.0,28.3,15.3,6.3
1610556,120.2,107.0,47.9,36.8,6.3
1610557,102.5,140.2,86.6,28.3,4.5
1610558,139.3,63.4,47.6,58.4,8.4
1610559,70.3,90.5,76.7,41.8,7.3
1610560,92.8,107.5,44.2,64.1,8.5
1610561,119.3,95.1,53.2,34.0,8.6
1610562,166.7,122.1,31.1,45.5,6.0
1610563,122.8,124.3,29.6,58.7,8.9
1610564,114.9,133.3,76.1,26.6,5.4
1610565,93.5,38.3,62.5,22.1,8.3
1610566,80.1,69.0,34.3,61.2,8.7
1610567,105.2,118.4,57.9,37.6,9.5
1610568,71.1,113.9,30.9,45.5,6.7
1610569,115.7,91.1,52.8,79.3,8.2
1610570,142.6,109.7,52.9,64.3,6.5
1610571,102.2,115.2,36.3,56.7,8.2
1610572,132.3,98.9,38.9,50.8,7.3
1610573,82.4,94.1,53.2,65.4,4.6
1610574,83.0,102.5,23.4,22.3,9.3
1610575,83.1,152.8,65.3,15.4,6.3
1610576,80.7,73.4,42.4,18.7,7.0
1610577,77.2,104.0,34.9,28.1,7.2
1610578,76.5,96.8,23.7,59.5,6.5
1610579,62.9,64.5,41.4,44.2,4.5
1610580,130.0,61.5,45.9,54.3,7.8
