SessionID,Neighborhood,WeatherCondition,SurgeMultiplier,DriverSupply,DemandIndex
960040,Uptown,Rainy,1.11,27.0,58.2
960041,Uptown,Clear,1.05,43.0,45.8
960042,Uptown,Clear,1.24,10.0,47.2
960043,Suburbs,Clear,1.85,2.0,34.0
960044,Airport,Clear,1.14,34.0,96.2
960045,Airport,Clear,1.09,40.0,73.2
960046,Suburbs,Rainy,1.08,42.0,63.3
960047,Suburbs,Clear,1.09,21.0,39.1
960048,Airport,Rainy,1.11,42.0,92.8
960049,Suburbs,Clear,1.06,44.0,54.6
960050,Uptown,Clear,1.04,43.0,32.8
960051,Downtown,Rainy,1.11,47.0,99.5
960052,Uptown,Clear,1.14,17.0,47.2
960053,Suburbs,Clear,1.03,58.0,39.5
960054,Airport,Clear,1.25,20.0,99.9
960055,Downtown,Clear,1.12,36.0,83.1
960056,Airport,Rainy,1.49,12.0,116.6
960057,Uptown,Rainy,1.05,56.0,55.5
960058,Airport,Rainy,1.1,58.0,119.9
960059,Uptown,Clear,1.04,48.0,38.5
960060,Downtown,Clear,1.14,24.0,65.2
960061,Suburbs,Clear,1.1,22.0,43.2
960062,Downtown,Clear,1.15,22.0,66.2
960063,Downtown,Snowy,1.15,37.0,109.1
960064,Airport,Clear,1.11,44.0,95.4
960065,Downtown,Clear,1.47,9.0,83.8
960066,Airport,Clear,1.39,11.0,85.6
960067,Airport,Clear,1.11,38.0,80.0
960068,Downtown,Clear,1.16,27.0,83.8
960069,Downtown,Rainy,1.15,33.0,95.8
960070,Suburbs,Clear,1.04,57.0,46.0
960071,Airport,Clear,1.22,21.0,90.3
960072,Suburbs,Clear,1.24,9.0,42.7
960073,Suburbs,Rainy,1.2,18.0,72.2
960074,Downtown,Rainy,1.22,24.0,104.9
960075,Suburbs,Rainy,2.42,2.0,56.8
960076,Airport,Snowy,1.32,19.0,123.3
960077,Airport,Clear,1.19,27.0,102.4
960078,Airport,Clear,1.07,53.0,74.9
960079,Airport,Clear,1.11,39.0,89.3
960080,Suburbs,Clear,1.23,11.0,50.1
960081,Downtown,Clear,1.15,25.0,73.9
960082,Downtown,Clear,1.08,56.0,91.1
960083,Uptown,Clear,1.06,44.0,50.2
960084,Uptown,Snowy,1.1,39.0,76.2
960085,Airport,Clear,1.16,26.0,85.8
960086,Suburbs,Clear,1.05,41.0,42.8
960087,Suburbs,Clear,1.04,47.0,40.9
960088,Uptown,Snowy,1.1,41.0,80.0
960089,Airport,Clear,1.16,27.0,84.2
960090,Airport,Snowy,1.13,52.0,134.7
960091,Airport,Rainy,3.09,3.0,125.7
960092,Uptown,Clear,1.16,14.0,45.9
960093,Airport,Rainy,1.08,52.0,82.4
960094,Airport,Rainy,1.11,53.0,114.5
960095,Downtown,Clear,1.28,13.0,73.0
960096,Suburbs,Clear,1.07,35.0,48.0
960097,Downtown,Rainy,1.29,17.0,98.1
960098,Uptown,Clear,1.12,17.0,41.2
960099,Suburbs,Rainy,1.05,53.0,53.5
960100,Downtown,Snowy,1.24,21.0,100.8
960101,Airport,Clear,1.1,45.0,94.1
960102,Downtown,Clear,1.07,48.0,70.9
960103,Downtown,Clear,1.15,23.0,70.3
960104,Suburbs,Snowy,1.05,59.0,60.4
960105,Downtown,Clear,1.13,24.0,61.8
960106,Uptown,Snowy,1.08,52.0,80.5
960107,Uptown,Snowy,1.11,35.0,75.5
960108,Uptown,Clear,1.3,7.0,42.4
960109,Downtown,Clear,1.27,13.0,69.3
960110,Airport,Clear,1.09,45.0,81.0
960111,Uptown,Clear,1.05,59.0,58.7
960112,Suburbs,Clear,1.05,31.0,32.6
960113,Uptown,Clear,1.05,42.0,39.3
960114,Downtown,Clear,1.11,35.0,73.9
960115,Uptown,Clear,1.06,29.0,33.3
960116,Airport,Clear,1.12,37.0,90.4
960117,Airport,Clear,1.09,47.0,83.7
960118,Downtown,Clear,1.06,55.0,69.0
960119,Downtown,Rainy,1.14,33.0,93.3
960120,Airport,Clear,1.29,16.0,92.6
960121,Airport,Clear,3.27,2.0,90.7
960122,Suburbs,Snowy,1.24,18.0,86.1
960123,Suburbs,Snowy,1.15,28.0,83.5
960124,Downtown,Clear,1.07,52.0,74.3
960125,Downtown,Clear,1.14,25.0,69.4
960126,Downtown,Clear,1.11,33.0,75.4
960127,Downtown,Clear,1.09,40.0,69.9
960128,Uptown,Clear,1.1,26.0,50.0
960129,Uptown,Rainy,1.08,,75.2
960130,Uptown,Snowy,1.14,27.0,78.1
960131,Uptown,Clear,1.29,3.0,17.3
960132,Airport,Clear,1.14,36.0,101.2
960133,Uptown,Clear,1.08,29.0,44.0
960134,Suburbs,Snowy,1.14,30.0,85.6
960135,Uptown,Clear,1.08,25.0,40.3
960136,Uptown,Clear,1.05,47.0,48.8
960137,Suburbs,Clear,1.12,22.0,51.5
960138,Suburbs,Clear,1.39,5.0,38.8
960139,Uptown,Clear,1.09,28.0,51.0
960140,Uptown,Clear,1.16,13.0,41.5
960141,Suburbs,Clear,2.66,2.0,66.6
960142,Uptown,Clear,2.19,2.0,47.5
960143,Suburbs,Clear,1.31,7.0,43.1
960144,Suburbs,Clear,1.05,44.0,48.3
960145,Airport,Clear,1.16,31.0,97.7
960146,Airport,Clear,1.34,12.0,80.6
960147,Uptown,Rainy,1.1,29.0,56.5
960148,Uptown,Clear,1.06,55.0,62.0
960149,Downtown,Clear,1.61,6.0,72.8
960150,Downtown,Clear,1.21,15.0,62.6
960151,Suburbs,Clear,1.06,35.0,42.4
960152,Airport,Clear,1.12,37.0,87.9
960153,Downtown,Clear,1.09,35.0,63.4
960154,Airport,Clear,1.14,30.0,86.2
960155,Uptown,Clear,1.15,16.0,47.6
960156,Suburbs,Snowy,1.23,19.0,86.6
960157,Suburbs,Clear,1.2,12.0,48.2
960158,Uptown,Clear,1.1,21.0,40.8
960159,Uptown,Clear,1.04,58.0,51.9
960160,Uptown,Snowy,1.11,45.0,98.4
960161,Airport,Snowy,3.5,2.0,131.1
960162,Downtown,Clear,1.21,19.0,80.9
960163,Downtown,Clear,1.08,47.0,76.2
960164,Airport,Clear,1.09,49.0,86.6
960165,Airport,Clear,1.09,52.0,95.9
960166,Airport,Clear,1.1,37.0,77.0
960167,Airport,Clear,1.13,33.0,83.8
960168,Uptown,Clear,1.19,11.0,41.1
960169,Airport,Clear,1.41,13.0,105.5
960170,Airport,Clear,1.17,30.0,101.1
960171,Suburbs,Clear,1.06,28.0,34.4
960172,Suburbs,Clear,1.07,28.0,41.4
960173,Uptown,Rainy,1.12,27.0,62.2
960174,Suburbs,Clear,1.05,35.0,32.6
960175,Downtown,Clear,1.08,50.0,78.6
960176,Uptown,Clear,1.06,38.0,49.2
960177,Suburbs,Snowy,1.11,35.0,78.9
960178,Suburbs,Clear,1.07,40.0,53.0
960179,Airport,Rainy,1.35,15.0,103.6
960180,Suburbs,Clear,2.12,2.0,44.7
960181,Uptown,Snowy,1.12,33.0,77.8
960182,Suburbs,Clear,1.04,47.0,38.1
960183,Downtown,Clear,1.27,13.0,69.9
960184,Suburbs,Clear,1.12,16.0,38.5
960185,Suburbs,Clear,1.04,50.0,37.1
960186,Uptown,Rainy,1.05,59.0,63.1
960187,Suburbs,Clear,1.2,14.0,56.0
960188,Uptown,Clear,1.06,43.0,55.1
960189,Airport,Clear,1.32,13.0,84.2
960190,Uptown,Clear,1.3,8.0,47.8
960191,Suburbs,Clear,1.14,22.0,60.1
960192,Downtown,Rainy,1.18,28.0,99.9
960193,Uptown,Clear,1.05,45.0,46.8
960194,Suburbs,Rainy,1.1,35.0,67.0
960195,Downtown,Clear,3.09,2.0,83.7
960196,Airport,Clear,1.12,40.0,94.0
960197,Suburbs,Clear,1.72,5.0,72.0
960198,Uptown,Rainy,1.19,18.0,67.5
960199,Downtown,Clear,1.06,59.0,73.6
960200,Uptown,Clear,1.04,51.0,44.7
960201,Airport,Snowy,1.13,52.0,138.2
960202,Uptown,Rainy,1.06,58.0,66.1
960203,Airport,Clear,2.44,3.0,86.6
960204,Suburbs,Snowy,1.08,48.0,77.2
960205,Uptown,Clear,1.06,30.0,33.8
960206,Airport,Clear,1.09,46.0,82.6
960207,Airport,Clear,1.1,45.0,87.1
960208,Uptown,Clear,1.94,3.0,56.4
960209,Suburbs,Rainy,2.9,2.0,76.1
960210,Suburbs,Clear,1.19,12.0,45.9
960211,Airport,Rainy,1.2,27.0,108.8
960212,Suburbs,Clear,1.05,46.0,45.0
960213,Uptown,Clear,1.13,,46.2
960214,Airport,Clear,1.63,8.0,100.9
960215,Suburbs,Clear,1.04,59.0,49.6
960216,Uptown,Rainy,1.17,21.0,73.5
960217,Downtown,Clear,1.07,49.0,64.5
960218,Suburbs,Snowy,1.17,24.0,80.1
960219,Downtown,Snowy,1.21,29.0,123.3
960220,Airport,Clear,1.46,10.0,91.3
960221,Uptown,Rainy,1.1,32.0,63.4
960222,Downtown,Clear,2.43,3.0,86.0
960223,Suburbs,Clear,1.06,40.0,47.6
960224,Airport,Snowy,1.12,54.0,133.5
960225,Suburbs,Clear,1.22,9.0,38.9
960226,Downtown,Clear,1.14,26.0,70.4
960227,Suburbs,Snowy,1.12,34.0,80.5
960228,Suburbs,Clear,1.65,4.0,52.3
960229,Suburbs,Rainy,1.07,48.0,67.9
960230,Suburbs,Clear,1.16,17.0,53.3
960231,Uptown,Clear,1.06,36.0,40.7
960232,Downtown,Snowy,1.11,48.0,104.0
960233,Downtown,Clear,1.25,13.0,65.4
960234,Downtown,Clear,1.2,20.0,81.1
960235,Uptown,Rainy,1.08,42.0,71.3
960236,Airport,Rainy,1.17,30.0,101.7
960237,Airport,Clear,1.07,59.0,80.9
960238,Downtown,Snowy,1.52,10.0,103.5
960239,Uptown,Rainy,1.11,26.0,59.5
960240,Downtown,Snowy,1.15,34.0,104.2
960241,Downtown,Rainy,1.09,52.0,98.7
960242,Suburbs,Clear,1.14,14.0,40.4
960243,Uptown,Rainy,1.12,29.0,69.7
960244,Airport,Clear,1.14,34.0,95.7
960245,Suburbs,Snowy,1.15,27.0,79.1
960246,Airport,Clear,1.12,37.0,87.6
960247,Uptown,Clear,1.1,22.0,45.0
960248,Downtown,Clear,1.09,38.0,66.0
960249,Uptown,Clear,1.41,7.0,57.4
960250,Downtown,Clear,1.17,20.0,68.7
960251,Suburbs,Clear,1.55,4.0,44.2
960252,Uptown,Clear,1.05,42.0,43.7
960253,Downtown,Rainy,1.38,12.0,91.8
960254,Uptown,Clear,1.12,18.0,44.8
960255,Uptown,Clear,1.1,25.0,48.8
960256,Suburbs,Rainy,1.05,58.0,63.1
960257,Uptown,Clear,1.27,7.0,37.7
960258,Uptown,Clear,1.08,26.0,39.2
960259,Suburbs,Clear,1.07,,38.0
960260,Downtown,Clear,1.06,57.0,71.7
960261,Airport,Clear,1.08,45.0,74.3
960262,Uptown,Snowy,2.0,4.0,80.2
960263,Uptown,Rainy,1.07,53.0,71.4
960264,Downtown,Clear,1.17,17.0,59.3
960265,Downtown,Rainy,1.11,45.0,101.7
960266,Airport,Clear,1.1,45.0,85.9
960267,Downtown,Clear,1.18,16.0,56.5
960268,Uptown,Clear,1.03,56.0,35.3
960269,Downtown,Clear,1.5,6.0,60.4
960270,Airport,Clear,1.19,24.0,93.1
960271,Uptown,Rainy,1.07,54.0,70.8
960272,Downtown,Clear,1.1,40.0,80.5
960273,Airport,Clear,1.17,25.0,84.1
960274,Downtown,Clear,1.1,45.0,92.2
960275,Downtown,Snowy,1.2,28.0,113.8
960276,Uptown,Clear,1.06,41.0,45.4
960277,Uptown,Clear,1.07,45.0,61.2
960278,Suburbs,Clear,1.05,52.0,48.8
960279,Airport,Snowy,1.27,23.0,122.7
960280,Downtown,Rainy,1.18,28.0,99.0
960281,Airport,Clear,1.54,9.0,97.3
960282,Downtown,Rainy,1.08,56.0,92.0
960283,Suburbs,Clear,1.08,29.0,48.4
960284,Uptown,Rainy,1.1,35.0,70.0
960285,Airport,Snowy,1.21,28.0,118.3
960286,Airport,Snowy,1.1,55.0,112.9
960287,Uptown,Clear,1.25,9.0,44.2
960288,Airport,Rainy,1.2,29.0,113.5
960289,Uptown,Snowy,1.81,5.0,80.6
960290,Downtown,Clear,1.4,9.0,71.9
960291,Downtown,Clear,1.17,24.0,79.2
960292,Downtown,Rainy,1.26,16.0,84.7
960293,Suburbs,Rainy,1.12,35.0,83.9
960294,Uptown,Clear,1.04,49.0,34.7
960295,Downtown,Clear,1.07,59.0,81.6
960296,Downtown,Rainy,3.49,2.0,99.6
960297,Downtown,Clear,1.11,38.0,87.2
960298,Downtown,Clear,1.1,38.0,73.0
960299,Uptown,Rainy,1.12,28.0,64.5
960300,Uptown,Snowy,1.22,21.0,91.7
960301,Uptown,Rainy,1.06,54.0,66.9
960302,Downtown,Clear,1.08,49.0,81.8
960303,Airport,Clear,2.03,4.0,82.5
960304,Uptown,Clear,1.02,50.0,23.5
960305,Suburbs,Snowy,2.09,4.0,87.5
960306,Downtown,Clear,1.41,8.0,65.3
960307,Uptown,Clear,1.11,25.0,53.7
960308,Airport,Clear,1.08,54.0,89.1
960309,Suburbs,Rainy,1.12,24.0,57.0
960310,Suburbs,Rainy,1.07,46.0,66.5
960311,Suburbs,Clear,1.07,32.0,45.5
960312,Airport,Rainy,1.09,59.0,100.7
960313,Suburbs,Rainy,1.05,,57.0
960314,Airport,Clear,1.3,15.0,89.8
960315,Uptown,Clear,1.05,44.0,44.8
960316,Uptown,Rainy,1.05,55.0,54.0
960317,Downtown,Clear,1.08,44.0,70.3
960318,Airport,Rainy,1.23,25.0,114.2
960319,Uptown,Clear,1.06,30.0,35.3
960320,Uptown,Clear,1.05,53.0,57.7
960321,Downtown,Snowy,1.64,8.0,103.1
960322,Airport,Clear,1.12,36.0,85.4
960323,Downtown,Clear,1.08,46.0,74.8
960324,Suburbs,Rainy,1.13,26.0,69.0
960325,Suburbs,Clear,1.9,2.0,35.9
960326,Uptown,Clear,1.04,57.0,41.5
960327,Airport,Clear,1.1,48.0,97.6
960328,Uptown,Clear,1.38,6.0,45.7
960329,Airport,Snowy,1.26,24.0,126.3
960330,Suburbs,Clear,1.43,7.0,60.2
960331,Downtown,Rainy,1.17,31.0,105.6
960332,Uptown,Rainy,1.14,26.0,70.9
960333,Uptown,Clear,1.05,55.0,55.7
960334,Uptown,Clear,1.05,58.0,54.8
960335,Uptown,Clear,1.03,54.0,32.2
960336,Downtown,Clear,1.06,59.0,68.5
960337,Downtown,Rainy,1.09,,100.2
960338,Airport,Snowy,2.38,5.0,138.4
960339,Airport,Snowy,1.15,42.0,126.9
960340,Suburbs,Clear,1.06,50.0,56.2
960341,Airport,Rainy,1.41,13.0,105.6
960342,Uptown,Rainy,1.13,22.0,58.2
960343,Uptown,Clear,1.06,45.0,52.7
960344,Suburbs,Rainy,1.1,36.0,73.6
960345,Suburbs,Rainy,1.12,31.0,74.4
960346,Uptown,Clear,1.06,28.0,32.5
960347,Suburbs,Snowy,1.1,41.0,80.7
960348,Downtown,Rainy,1.08,59.0,90.0
960349,Airport,Clear,1.43,10.0,85.9
960350,Airport,Clear,1.11,39.0,84.6
960351,Uptown,Clear,1.05,49.0,44.8
960352,Airport,Clear,1.3,13.0,77.1
960353,Airport,Clear,1.07,58.0,83.5
960354,Uptown,Clear,1.05,42.0,44.3
960355,Uptown,Rainy,1.21,16.0,66.0
960356,Suburbs,Clear,1.06,28.0,33.5
960357,Suburbs,Clear,1.05,43.0,44.6
960358,Uptown,Rainy,1.17,20.0,66.3
960359,Uptown,Rainy,1.06,55.0,63.9
960360,Suburbs,Clear,1.05,58.0,55.9
960361,Suburbs,Clear,1.08,31.0,51.6
960362,Downtown,Snowy,1.13,46.0,117.0
960363,Downtown,Snowy,1.2,25.0,98.8
960364,Uptown,Clear,1.1,28.0,54.6
960365,Uptown,Rainy,1.05,49.0,53.7
960366,Downtown,Clear,1.07,47.0,69.7
960367,Suburbs,Snowy,1.76,5.0,76.3
960368,Uptown,Clear,1.04,44.0,36.1
960369,Suburbs,Rainy,1.06,48.0,56.9
960370,Downtown,Clear,1.08,39.0,65.1
960371,Airport,Clear,1.11,40.0,90.8
960372,Downtown,Clear,1.21,14.0,59.2
960373,Airport,Clear,1.09,42.0,77.7
960374,Downtown,Clear,1.29,13.0,74.9
960375,Airport,Clear,1.1,48.0,96.1
960376,Suburbs,Rainy,1.32,8.0,51.6
960377,Downtown,Clear,1.11,36.0,79.7
960378,Downtown,Clear,1.16,24.0,76.1
960379,Downtown,Clear,1.07,51.0,71.9
960380,Downtown,Snowy,1.39,13.0,101.1
960381,Downtown,Snowy,1.23,26.0,119.2
960382,Uptown,Clear,1.04,59.0,52.4
960383,Airport,Rainy,1.13,45.0,119.1
960384,Suburbs,Clear,1.07,25.0,37.0
960385,Airport,Rainy,1.13,45.0,115.7
960386,Downtown,Clear,1.13,26.0,70.1
960387,Airport,Clear,1.11,46.0,98.2
960388,Airport,Rainy,2.13,5.0,112.6
960389,Uptown,Clear,1.13,22.0,57.6
960390,Uptown,Clear,1.06,33.0,37.4
960391,Downtown,Rainy,1.15,31.0,93.7
960392,Downtown,Snowy,1.23,25.0,115.0
960393,Suburbs,Rainy,1.21,18.0,77.2
960394,Airport,Clear,1.22,23.0,101.1
960395,Airport,Clear,1.12,33.0,79.2
960396,Downtown,Clear,1.07,51.0,72.1
960397,Airport,Clear,1.22,22.0,95.8
960398,Downtown,Clear,1.92,4.0,73.3
960399,Uptown,Clear,1.04,56.0,50.4
960400,Airport,Clear,1.12,29.0,72.4
960401,Downtown,Snowy,1.11,47.0,105.0
960402,Downtown,Snowy,1.11,51.0,109.6
960403,Suburbs,Clear,1.05,28.0,26.5
960404,Airport,Clear,1.81,5.0,80.8
960405,Downtown,Clear,1.1,53.0,105.8
960406,Airport,Clear,1.47,11.0,104.4
960407,Airport,Clear,3.41,2.0,96.3
960408,Suburbs,Clear,1.07,45.0,58.9
960409,Downtown,Clear,1.06,50.0,56.7
960410,Downtown,Clear,1.32,14.0,90.9
960411,Suburbs,Clear,1.1,19.0,39.5
960412,Suburbs,Clear,1.37,5.0,37.5
960413,Uptown,Clear,1.07,24.0,34.4
960414,Airport,Rainy,1.18,27.0,99.2
960415,Uptown,Rainy,1.1,26.0,54.1
960416,Airport,Clear,1.16,29.0,90.6
960417,Suburbs,Rainy,1.29,9.0,53.1
960418,Uptown,Clear,1.2,14.0,55.7
960419,Downtown,Clear,1.14,24.0,67.7
960420,Suburbs,Rainy,1.06,57.0,70.5
960421,Suburbs,Clear,1.57,3.0,34.3
960422,Downtown,Rainy,2.13,4.0,90.6
960423,Airport,Clear,1.3,16.0,97.6
960424,Airport,Snowy,1.45,15.0,134.7
960425,Uptown,Rainy,1.18,20.0,71.6
960426,Uptown,Clear,1.38,7.0,53.1
960427,Uptown,Clear,1.05,48.0,49.6
960428,Uptown,Clear,1.11,26.0,58.3
960429,Suburbs,Clear,1.05,49.0,46.8
960430,Uptown,Clear,1.15,17.0,52.0
960431,Suburbs,Clear,1.04,57.0,41.9
960432,Downtown,Clear,1.1,34.0,70.5
960433,Downtown,Clear,1.05,59.0,63.8
960434,Uptown,Rainy,1.41,8.0,64.9
960435,Downtown,Clear,1.3,11.0,65.1
960436,Uptown,Rainy,1.42,7.0,58.6
960437,Airport,Clear,1.12,39.0,96.8
960438,Suburbs,Rainy,1.2,17.0,67.9
960439,Airport,Clear,1.11,39.0,86.0
960440,Uptown,Clear,1.03,51.0,33.7
960441,Suburbs,Rainy,1.07,58.0,77.3
960442,Suburbs,Clear,1.07,33.0,44.2
960443,Suburbs,Clear,1.1,27.0,52.7
960444,Downtown,Clear,1.39,11.0,86.0
960445,Downtown,Clear,1.13,25.0,64.7
960446,Airport,Snowy,1.14,48.0,132.0
960447,Suburbs,Clear,1.06,44.0,54.1
960448,Uptown,Rainy,1.11,31.0,66.7
960449,Airport,Clear,1.34,13.0,89.4
960450,Suburbs,Clear,1.06,35.0,44.0
960451,Airport,Clear,1.13,37.0,99.4
960452,Suburbs,Rainy,1.39,9.0,71.0
960453,Airport,Clear,1.08,52.0,78.4
960454,Suburbs,Rainy,1.07,46.0,60.3
960455,Downtown,Rainy,1.11,48.0,104.8
960456,Suburbs,Rainy,1.4,8.0,64.5
960457,Suburbs,Clear,1.19,8.0,30.7
960458,Airport,Clear,1.33,14.0,93.0
960459,Downtown,Clear,1.09,42.0,73.7
960460,Downtown,Rainy,1.08,59.0,94.9
960461,Uptown,Clear,1.04,40.0,34.6
960462,Downtown,Rainy,1.12,36.0,89.9
960463,Suburbs,Clear,1.23,12.0,54.5
960464,Uptown,Clear,1.3,9.0,54.5
960465,Suburbs,Clear,1.11,25.0,54.2
960466,Suburbs,Clear,1.06,32.0,40.4
960467,Suburbs,Rainy,1.13,27.0,70.8
960468,Suburbs,Clear,1.32,8.0,51.8
960469,Downtown,Clear,1.3,13.0,77.3
960470,Downtown,Clear,1.32,14.0,88.5
960471,Airport,Clear,1.2,22.0,87.1
960472,Suburbs,Clear,1.05,49.0,46.3
960473,Airport,Clear,1.7,6.0,83.8
960474,Suburbs,Clear,1.2,12.0,47.0
960475,Downtown,Clear,1.08,47.0,73.5
960476,Suburbs,Rainy,1.12,22.0,54.6
960477,Uptown,Clear,1.06,22.0,25.9
960478,Uptown,Clear,1.08,35.0,54.4
960479,Uptown,Clear,1.04,45.0,38.5
960480,Airport,Rainy,1.19,31.0,117.4
960481,Downtown,Clear,1.07,57.0,78.7
960482,Uptown,Clear,1.06,51.0,58.6
960483,Airport,Clear,1.41,12.0,99.4
960484,Airport,Clear,1.16,27.0,87.2
960485,Downtown,Clear,1.08,35.0,54.9
960486,Downtown,Snowy,1.27,21.0,113.9
960487,Uptown,Clear,1.03,54.0,27.7
960488,Suburbs,Clear,1.06,38.0,47.0
960489,Uptown,Clear,1.04,51.0,36.8
960490,Airport,Clear,1.19,26.0,100.9
960491,Downtown,Clear,1.13,29.0,73.8
960492,Suburbs,Clear,1.27,9.0,49.4
960493,Downtown,Clear,1.11,36.0,78.6
960494,Suburbs,Clear,1.11,22.0,49.1
960495,Airport,Clear,1.08,52.0,84.9
960496,Suburbs,Clear,1.02,49.0,22.5
960497,Suburbs,Rainy,1.07,50.0,74.0
960498,Suburbs,Clear,1.46,4.0,36.4
960499,Suburbs,Rainy,1.2,18.0,70.6
960500,Suburbs,Clear,1.15,11.0,33.9
960501,Uptown,Clear,1.04,53.0,41.0
960502,Downtown,Snowy,1.45,13.0,116.0
960503,Uptown,Snowy,1.33,11.0,72.1
960504,Downtown,Clear,1.13,28.0,72.7
960505,Suburbs,Clear,1.07,29.0,40.1
960506,Uptown,Clear,1.06,57.0,64.8
960507,Suburbs,Snowy,1.09,,81.3
960508,Uptown,Clear,1.07,36.0,51.3
960509,Uptown,Clear,1.05,46.0,48.6
960510,Airport,Clear,1.31,18.0,110.2
960511,Airport,Clear,1.2,21.0,83.0
960512,Suburbs,Clear,1.1,20.0,41.1
960513,Suburbs,Clear,1.12,14.0,34.1
960514,Suburbs,Rainy,1.09,47.0,85.0
960515,Airport,Clear,1.52,10.0,104.2
960516,Suburbs,Clear,1.06,35.0,41.4
960517,Downtown,Clear,1.08,52.0,82.4
960518,Downtown,Clear,1.51,6.0,61.4
960519,Uptown,Clear,1.31,7.0,43.2
960520,Suburbs,Snowy,1.64,6.0,77.3
960521,Airport,Rainy,1.11,53.0,111.7
960522,Suburbs,Clear,1.08,29.0,45.8
960523,Uptown,Clear,1.05,45.0,46.5
960524,Downtown,Rainy,1.17,29.0,96.5
960525,Uptown,Clear,1.06,39.0,46.3
960526,Downtown,Rainy,3.43,2.0,97.1
960527,Downtown,Rainy,3.5,2.0,100.7
960528,Uptown,Rainy,1.07,53.0,76.4
960529,Suburbs,Rainy,1.1,35.0,68.3
960530,Downtown,Clear,1.12,28.0,67.2
960531,Airport,Clear,1.35,13.0,90.7
960532,Airport,Clear,1.08,54.0,90.0
960533,Airport,Rainy,1.18,32.0,112.8
960534,Suburbs,Clear,1.1,26.0,50.0
960535,Airport,Rainy,1.16,35.0,110.3
960536,Downtown,Clear,1.1,39.0,74.2
960537,Suburbs,Clear,1.13,22.0,58.5
960538,Uptown,Clear,1.06,42.0,50.1
960539,Airport,Rainy,1.17,31.0,107.0
960540,Uptown,Clear,1.08,35.0,52.5
960541,Downtown,Rainy,1.16,32.0,103.3
960542,Airport,Clear,1.56,8.0,90.3
960543,Uptown,Clear,1.72,3.0,42.9
960544,Uptown,Clear,1.06,40.0,48.9
960545,Suburbs,Clear,1.06,30.0,36.4
960546,Suburbs,Clear,1.04,48.0,40.3
960547,Suburbs,Rainy,1.21,17.0,70.8
960548,Downtown,Clear,1.23,14.0,63.5
960549,Airport,Rainy,1.09,56.0,105.3
960550,Airport,Clear,1.26,17.0,87.8
960551,Uptown,Clear,1.09,32.0,56.5
960552,Uptown,Clear,1.22,10.0,44.5
960553,Suburbs,Rainy,1.25,11.0,56.0
960554,Suburbs,Clear,1.04,50.0,42.5
960555,Airport,Clear,1.09,53.0,96.9
960556,Airport,Clear,1.11,40.0,91.2
960557,Suburbs,Clear,1.05,46.0,42.4
960558,Airport,Clear,3.13,2.0,85.2
960559,Airport,Clear,1.1,42.0,88.0
960560,Uptown,Rainy,1.22,16.0,70.1
960561,Airport,Snowy,1.12,54.0,126.0
960562,Airport,Clear,1.22,20.0,86.5
960563,Downtown,Clear,2.32,3.0,79.5
960564,Suburbs,Clear,1.07,33.0,44.9
960565,Uptown,Clear,1.05,37.0,35.7
960566,Downtown,Clear,1.08,53.0,88.3
960567,Suburbs,Clear,1.13,17.0,43.1
960568,Downtown,Clear,1.14,29.0,82.7
960569,Airport,Clear,1.11,44.0,93.6
960570,Uptown,Clear,1.09,22.0,39.0
960571,Airport,Clear,1.1,44.0,88.3
960572,Uptown,Rainy,1.09,44.0,76.8
