HouseholdID,DailyConsumption_L,MidnightFlowRate_Lh,PressureDropCount,LeakScore,ConfirmedLeak
1540114,78.5,15.1,1.4,7.6,1
1540115,107.0,39.3,1.97,6.0,0
1540116,110.5,48.3,1.8,6.9,1
1540117,79.8,36.8,1.16,7.7,0
1540118,129.4,47.2,0.5,8.2,0
1540119,103.8,35.4,1.21,5.7,0
1540120,103.1,43.3,0.87,7.2,1
1540121,73.0,48.1,1.29,7.0,0
1540122,99.7,59.0,1.58,6.1,0
1540123,44.8,32.1,1.48,7.1,0
1540124,113.6,40.2,1.87,7.0,0
1540125,62.5,57.9,1.25,8.4,1
1540126,60.8,,2.1,6.8,0
1540127,143.0,61.9,1.48,5.2,0
1540128,93.7,39.1,1.76,8.3,0
1540129,75.8,51.3,1.05,5.1,1
1540130,124.7,45.7,0.97,7.4,0
1540131,108.0,44.6,1.16,7.4,1
1540132,156.7,5.7,1.9,9.7,0
1540133,113.0,40.5,1.68,6.4,1
1540134,104.0,56.7,1.34,5.3,0
1540135,77.8,47.0,1.84,4.7,1
1540136,89.6,75.1,1.03,6.9,1
1540137,115.0,62.3,1.1,7.2,0
1540138,83.7,57.0,1.46,9.0,1
1540139,103.6,82.6,1.31,7.1,0
1540140,90.4,30.9,0.93,4.7,1
1540141,82.0,60.4,2.0,7.5,1
1540142,75.1,46.3,2.03,5.8,1
1540143,112.8,2.3,2.07,5.1,1
1540144,117.7,30.7,1.77,6.5,1
1540145,121.6,37.5,1.36,8.2,1
1540146,128.4,59.9,1.45,9.1,0
1540147,65.4,80.8,0.89,3.6,1
1540148,107.8,32.0,1.27,6.7,0
1540149,107.9,40.2,1.04,7.1,1
1540150,107.9,57.0,2.16,7.1,1
1540151,127.7,39.1,1.31,7.6,0
1540152,54.2,45.3,1.75,8.3,1
1540153,83.0,34.6,1.45,5.9,1
1540154,71.8,35.0,1.7,6.3,0
1540155,92.3,43.0,0.87,8.1,1
1540156,116.8,45.2,1.48,7.1,0
1540157,105.9,22.9,1.39,8.7,0
1540158,113.2,44.0,1.37,7.6,0
1540159,139.2,74.2,1.12,8.3,0
1540160,112.3,72.2,1.7,6.5,0
1540161,126.8,57.1,1.24,5.6,0
1540162,124.3,54.2,1.58,5.5,1
1540163,67.0,39.9,1.2,9.3,1
1540164,141.9,55.0,1.53,6.8,0
1540165,75.5,57.4,1.4,9.5,1
1540166,131.9,14.9,1.74,7.5,1
1540167,113.6,52.3,1.55,8.7,1
1540168,96.0,38.7,1.55,6.0,1
1540169,101.0,71.5,1.3,9.1,1
1540170,100.0,48.3,1.65,7.5,0
1540171,86.1,50.0,1.95,6.0,0
1540172,78.1,38.6,1.17,6.8,0
1540173,117.4,55.5,2.26,7.4,1
1540174,129.9,44.4,1.47,7.5,0
1540175,100.7,43.6,1.25,5.9,0
1540176,118.4,56.7,1.72,8.0,0
1540177,100.5,56.3,0.98,6.9,1
1540178,76.4,60.6,2.5,8.1,1
1540179,58.6,18.1,1.69,6.9,0
1540180,88.4,45.3,1.23,8.5,0
1540181,104.2,18.6,1.74,7.8,0
1540182,142.4,26.5,1.49,7.0,1
1540183,60.3,62.8,1.52,7.5,1
1540184,64.0,39.8,1.72,3.8,1
1540185,100.4,52.4,1.16,8.5,1
1540186,66.7,35.8,1.35,7.2,0
1540187,79.0,62.2,1.23,7.9,0
1540188,105.5,48.2,1.11,7.2,1
1540189,147.5,52.3,1.62,5.5,0
1540190,124.1,34.3,1.14,8.4,0
1540191,72.1,30.5,1.54,6.9,0
1540192,44.4,51.5,1.71,8.2,0
1540193,100.8,43.6,0.79,6.9,1
1540194,123.3,48.0,1.43,5.3,0
1540195,103.6,36.1,1.81,7.6,1
1540196,118.2,36.3,1.6,4.5,0
1540197,116.9,33.0,1.77,6.4,0
1540198,97.7,38.6,1.36,9.6,1
1540199,101.3,38.5,1.27,8.0,0
1540200,80.8,63.1,1.65,6.3,1
1540201,85.8,45.4,1.17,5.3,1
1540202,90.5,25.9,2.0,9.6,1
1540203,80.3,53.4,1.39,7.5,0
1540204,99.5,68.5,1.31,6.9,0
1540205,111.1,41.2,1.1,8.2,0
1540206,99.1,56.2,0.66,6.5,1
1540207,125.1,47.9,1.92,6.2,1
1540208,79.7,48.2,1.71,6.0,1
1540209,91.9,47.1,1.57,7.7,1
1540210,91.8,35.2,1.23,7.0,0
1540211,95.2,38.9,1.35,10.0,1
1540212,46.3,44.3,1.39,10.0,0
1540213,151.9,53.3,1.52,5.8,1
1540214,70.9,51.6,1.83,9.8,0
1540215,170.6,48.4,1.49,6.5,0
1540216,93.8,44.8,0.86,6.2,0
1540217,107.9,34.2,2.02,6.5,1
1540218,94.4,40.9,1.06,7.5,1
1540219,107.5,40.7,1.18,4.0,0
1540220,101.9,38.3,1.18,7.4,0
1540221,117.1,,1.97,7.3,1
1540222,101.8,34.7,1.21,7.0,0
1540223,52.1,64.1,1.38,9.0,1
1540224,129.7,39.5,1.96,9.1,1
1540225,78.7,33.2,1.49,9.1,1
1540226,111.7,20.2,1.71,8.0,1
1540227,70.4,51.6,1.9,6.3,0
1540228,70.8,41.3,1.57,6.3,0
1540229,89.4,23.8,1.04,6.9,0
1540230,134.9,42.7,1.89,6.6,1
1540231,65.9,49.8,1.06,5.5,0
1540232,82.0,69.4,1.19,7.5,1
1540233,96.3,55.1,2.35,8.4,0
1540234,66.7,59.7,2.21,6.5,1
1540235,74.4,,1.17,6.2,0
1540236,97.8,35.9,1.52,9.6,1
1540237,111.3,79.1,2.0,7.3,1
1540238,77.9,31.3,2.02,7.9,0
1540239,89.6,64.5,1.41,9.5,0
1540240,74.0,44.6,1.86,5.8,1
1540241,87.1,45.1,0.92,5.0,0
1540242,102.9,67.9,1.0,6.6,1
1540243,66.0,52.7,1.52,5.4,1
1540244,117.1,50.7,1.21,5.7,1
1540245,102.0,53.5,1.6,7.1,1
1540246,120.1,49.3,2.01,8.1,1
1540247,97.7,35.8,1.43,9.6,1
1540248,100.2,28.3,1.41,7.2,0
1540249,96.9,44.8,1.09,4.9,1
1540250,83.3,82.8,1.46,6.1,0
1540251,51.6,72.5,1.12,7.8,1
1540252,64.1,51.6,1.95,7.8,1
1540253,61.8,60.7,1.46,6.0,1
1540254,118.8,52.4,1.05,7.9,1
1540255,138.9,40.0,1.8,8.5,1
1540256,90.6,37.2,1.71,8.5,1
1540257,98.6,40.2,1.84,7.9,1
1540258,143.6,52.9,1.45,8.0,0
1540259,133.7,44.3,1.84,6.8,0
1540260,91.4,32.0,1.36,4.2,0
1540261,105.5,41.6,1.51,8.8,1
1540262,82.3,72.2,1.79,5.7,0
1540263,117.7,32.1,1.19,7.2,0
1540264,71.6,50.0,1.57,6.5,0
1540265,54.5,28.2,1.37,10.0,0
1540266,108.2,50.4,2.08,10.0,0
1540267,118.1,49.7,2.2,5.1,1
1540268,107.8,62.0,1.67,4.5,1
1540269,63.5,69.0,1.51,9.5,1
1540270,110.2,73.6,1.92,7.3,1
1540271,88.5,9.5,1.18,7.9,1
1540272,95.6,41.9,1.82,7.3,0
1540273,62.1,54.0,2.08,7.4,1
1540274,86.6,34.8,1.84,6.5,1
1540275,95.2,38.4,1.27,6.4,1
1540276,82.5,42.6,1.0,6.6,1
1540277,91.9,51.2,1.22,8.1,0
1540278,90.4,50.2,2.0,7.2,0
1540279,99.4,49.1,1.96,9.8,0
1540280,86.4,48.9,1.57,8.0,1
1540281,130.9,61.1,1.44,5.9,0
1540282,95.8,30.9,1.6,8.9,1
1540283,122.0,63.8,1.0,7.2,1
1540284,133.3,48.8,0.92,6.5,0
1540285,100.4,53.0,2.43,7.2,0
1540286,145.8,47.4,2.62,7.6,0
1540287,125.5,44.3,1.45,7.7,0
1540288,103.0,31.7,0.92,8.1,0
1540289,103.4,42.5,1.93,7.2,0
1540290,83.5,56.7,2.04,8.9,0
1540291,83.2,24.3,1.85,8.7,1
1540292,104.6,57.2,1.86,7.1,1
1540293,126.3,25.4,1.82,6.6,0
1540294,111.2,36.8,1.8,7.4,0
1540295,72.7,57.9,1.01,5.8,1
1540296,57.8,42.2,1.33,9.1,0
1540297,129.1,49.8,1.13,7.9,0
1540298,89.1,24.5,1.21,7.7,1
1540299,99.0,43.4,1.19,8.4,1
1540300,92.8,54.9,1.04,8.9,0
1540301,50.4,45.2,0.68,9.6,1
1540302,85.9,43.0,1.24,6.4,0
1540303,81.0,84.5,1.67,7.0,1
1540304,116.2,45.9,0.84,5.9,0
1540305,96.0,50.2,1.41,8.9,0
1540306,43.9,57.3,0.91,5.9,0
1540307,115.2,34.6,1.66,5.6,0
1540308,79.5,28.4,1.45,7.0,0
1540309,85.2,49.9,1.35,8.4,0
1540310,61.9,53.5,1.44,6.7,1
1540311,118.8,16.2,1.3,7.6,1
1540312,93.6,23.2,1.73,8.0,1
1540313,89.3,49.2,1.83,4.2,1
1540314,115.6,27.7,1.99,7.6,1
1540315,115.3,83.6,2.0,6.3,0
1540316,81.0,49.5,1.78,8.6,1
1540317,88.5,72.9,1.77,7.2,1
1540318,82.5,33.3,1.69,7.6,1
1540319,82.7,36.1,1.44,9.3,1
1540320,83.8,24.7,1.75,7.9,1
1540321,133.0,39.4,1.36,8.4,1
1540322,143.8,16.4,1.72,5.9,1
1540323,66.3,16.1,1.46,8.2,0
1540324,107.4,30.7,1.18,3.6,0
1540325,111.4,37.2,1.54,7.2,0
1540326,111.3,44.4,1.21,9.0,0
1540327,94.4,44.5,1.35,8.9,0
1540328,106.9,39.6,2.16,7.3,1
1540329,103.1,50.6,1.71,10.0,0
1540330,83.9,34.2,0.91,7.1,0
1540331,87.8,42.3,1.64,6.2,1
1540332,134.5,48.9,1.97,6.5,0
1540333,62.7,26.0,1.74,5.4,1
1540334,75.9,49.6,1.3,8.8,0
1540335,108.0,33.3,1.54,6.0,1
1540336,114.7,52.9,1.25,6.8,1
1540337,86.5,58.5,1.64,6.6,0
1540338,138.4,49.2,1.49,8.8,0
1540339,154.6,30.8,1.66,5.1,0
1540340,86.9,40.6,1.83,5.1,1
1540341,113.9,29.6,1.45,7.7,1
1540342,166.5,54.1,0.89,5.1,0
1540343,106.9,60.9,1.3,5.7,0
1540344,129.3,44.8,0.98,7.4,1
1540345,113.2,40.5,0.82,5.9,1
1540346,95.8,30.6,1.62,4.9,1
1540347,119.0,44.5,1.08,6.1,0
1540348,88.7,53.6,1.16,4.8,0
1540349,79.5,31.0,1.2,8.2,1
1540350,100.2,23.7,1.49,6.6,1
1540351,139.3,38.9,1.78,8.1,1
1540352,53.3,22.3,1.81,7.7,0
1540353,131.2,45.1,1.63,7.9,0
1540354,87.4,66.7,1.52,6.1,0
1540355,122.6,48.6,1.53,7.2,1
1540356,121.5,39.9,1.17,7.4,1
1540357,65.0,47.1,1.73,7.0,1
1540358,80.4,50.4,1.59,8.0,1
1540359,82.5,38.6,2.25,8.1,1
1540360,38.5,44.6,2.47,7.2,1
1540361,135.5,31.8,1.42,9.4,1
1540362,121.3,59.0,0.35,7.4,1
1540363,63.8,62.1,1.98,7.5,1
1540364,125.7,77.3,0.97,3.4,0
1540365,95.5,16.7,1.69,8.0,1
1540366,32.9,24.4,1.84,5.0,1
1540367,63.9,32.6,1.45,10.0,1
1540368,73.9,37.9,2.11,7.3,1
1540369,112.5,39.2,2.08,7.4,0
1540370,113.0,22.2,1.25,7.7,0
1540371,119.9,25.2,1.16,6.0,0
1540372,125.5,29.0,1.7,8.7,0
1540373,115.1,32.5,1.59,7.1,1
1540374,147.8,52.5,0.92,3.4,1
1540375,103.2,82.9,1.4,4.2,0
1540376,119.4,27.0,1.06,7.8,1
1540377,96.5,54.6,1.5,9.9,1
1540378,109.5,58.6,1.14,7.8,1
1540379,93.0,59.5,1.04,8.1,0
1540380,127.1,56.0,1.47,5.0,0
1540381,63.2,66.8,0.84,7.3,1
1540382,129.4,55.7,1.84,5.8,1
1540383,83.0,47.1,1.51,8.1,0
1540384,134.6,49.9,2.39,7.9,1
1540385,80.8,55.7,1.06,6.7,1
1540386,113.2,61.6,1.48,7.3,0
1540387,85.5,,2.04,6.7,0
1540388,93.0,15.8,1.85,7.1,0
1540389,99.7,60.3,1.68,7.4,1
1540390,60.3,62.5,1.25,8.7,0
1540391,123.6,43.0,1.23,6.7,1
1540392,113.9,45.6,1.54,7.3,0
1540393,103.5,68.9,1.03,6.2,0
1540394,88.6,78.4,2.41,4.4,0
1540395,125.6,39.9,0.98,5.6,1
1540396,64.2,7.8,1.73,7.8,1
1540397,101.7,44.3,2.06,9.4,0
1540398,105.6,49.9,1.4,6.7,0
1540399,85.4,17.8,2.02,6.3,1
1540400,104.2,64.1,1.93,10.0,0
1540401,133.1,19.1,1.49,9.1,0
1540402,98.5,45.8,1.22,5.9,0
1540403,138.7,47.7,1.77,6.3,1
1540404,107.8,63.7,1.51,8.0,1
1540405,107.8,68.2,1.08,10.0,0
1540406,113.5,71.7,1.73,6.8,0
1540407,119.3,22.4,1.66,6.9,1
1540408,64.3,46.2,1.19,7.3,0
1540409,50.4,62.2,0.9,6.5,1
1540410,110.1,26.2,1.15,7.8,0
1540411,134.8,49.4,1.58,9.3,1
1540412,116.5,51.6,1.74,6.5,1
1540413,126.3,40.6,1.1,6.2,1
1540414,103.5,47.9,2.23,9.3,1
1540415,104.2,71.0,2.4,8.7,1
1540416,143.2,38.4,2.02,7.0,0
1540417,81.3,34.2,0.8,7.9,0
1540418,87.5,66.4,1.27,6.5,0
1540419,138.6,50.2,2.12,8.8,1
1540420,83.9,10.4,1.58,6.6,0
1540421,67.6,22.2,1.12,6.8,1
1540422,85.8,41.4,1.71,6.8,0
1540423,50.3,61.0,1.65,6.7,0
1540424,109.4,38.9,2.23,6.5,1
1540425,118.2,69.9,2.08,6.4,0
1540426,168.4,39.5,1.87,6.9,1
1540427,66.9,43.5,1.49,5.6,0
1540428,140.6,40.7,1.92,4.7,1
1540429,162.4,37.6,1.54,5.7,1
1540430,100.3,53.8,1.07,6.9,0
1540431,107.9,44.6,1.07,9.0,1
1540432,87.3,48.0,1.32,4.3,0
1540433,112.2,50.6,1.85,5.8,0
1540434,76.1,15.1,1.12,5.6,1
1540435,101.9,23.0,1.02,6.1,0
1540436,71.1,58.8,1.57,5.3,1
1540437,132.8,41.6,0.96,7.1,0
1540438,111.3,41.3,1.17,7.1,0
1540439,69.7,73.8,1.77,4.9,0
1540440,117.9,16.5,1.5,3.4,0
1540441,75.0,45.6,1.23,6.5,1
1540442,74.9,32.0,1.36,9.7,0
1540443,101.3,47.7,2.51,10.0,1
1540444,92.8,36.2,1.3,6.7,0
1540445,112.3,12.1,1.54,7.8,0
1540446,81.6,31.6,1.24,7.2,1
1540447,82.9,69.1,1.44,5.9,1
1540448,99.0,43.1,1.29,8.7,0
1540449,83.2,38.4,1.82,7.3,0
1540450,96.2,26.8,0.91,7.2,0
1540451,110.3,47.3,1.0,7.5,0
1540452,94.1,33.9,2.27,7.3,1
1540453,66.6,29.4,1.54,9.2,0
1540454,72.2,,1.69,5.7,0
1540455,86.5,44.4,1.89,6.7,1
1540456,116.8,67.2,1.29,8.4,0
1540457,122.5,57.8,1.98,6.6,1
1540458,102.8,56.2,1.24,6.2,1
1540459,126.0,64.4,1.53,5.5,1
1540460,131.1,62.6,1.15,7.6,1
1540461,90.0,65.5,1.58,7.2,1
1540462,138.0,26.8,1.26,7.6,0
1540463,133.1,41.7,1.41,7.3,1
1540464,99.0,48.6,1.67,6.9,1
1540465,104.1,62.1,1.11,8.2,0
1540466,113.6,47.5,1.36,8.0,0
1540467,126.7,,1.93,7.2,1
1540468,144.4,56.9,1.47,5.7,1
1540469,102.0,54.7,1.43,6.8,1
1540470,108.3,27.3,1.01,5.7,1
1540471,130.4,49.4,0.89,7.1,0
1540472,155.0,19.7,1.95,6.5,1
1540473,77.3,56.2,1.99,6.0,0
1540474,129.4,66.9,1.49,8.9,0
1540475,93.8,49.3,2.37,8.0,1
1540476,81.0,76.8,1.32,3.2,0
1540477,140.8,0.2,1.14,7.3,0
1540478,103.8,52.5,1.81,4.3,1
1540479,107.3,81.0,1.26,5.2,0
1540480,80.4,56.1,1.19,4.6,0
1540481,88.2,79.1,1.59,6.6,0
1540482,89.0,7.0,1.93,6.4,1
1540483,97.1,28.9,0.68,4.9,0
1540484,149.6,29.8,2.2,4.6,0
1540485,78.0,45.8,1.49,7.4,0
1540486,67.3,33.8,1.55,9.1,0
1540487,76.9,47.2,1.38,5.6,0
1540488,60.9,45.8,2.59,8.0,0
1540489,110.6,52.6,1.31,7.0,1
1540490,115.8,44.6,1.11,6.8,0
1540491,80.4,68.1,1.31,6.1,0
1540492,31.1,38.9,1.57,7.6,0
1540493,91.9,50.0,1.25,8.0,1
1540494,131.5,9.0,1.77,7.3,0
1540495,134.3,52.0,1.83,9.2,1
1540496,140.2,32.6,2.38,7.7,1
1540497,53.9,38.0,2.03,6.7,0
1540498,99.8,36.5,1.8,7.7,0
1540499,92.4,41.3,1.52,7.9,0
1540500,101.2,41.2,1.64,7.7,1
1540501,43.9,51.7,1.65,8.0,1
1540502,83.3,55.5,1.88,6.9,0
1540503,109.5,29.2,1.4,7.5,0
1540504,145.8,49.2,1.71,5.6,1
1540505,142.9,41.4,1.51,7.9,1
1540506,123.2,42.7,1.58,6.0,0
1540507,46.5,42.3,1.11,7.4,0
1540508,91.1,64.6,0.66,7.9,1
1540509,148.8,45.9,2.54,7.6,1
1540510,166.8,44.3,1.94,7.3,0
1540511,111.2,48.7,1.23,5.7,1
1540512,77.8,32.4,2.28,8.4,1
1540513,94.8,33.9,2.37,5.5,1
1540514,134.1,45.5,0.86,10.0,0
1540515,120.1,58.6,1.71,6.2,1
1540516,62.3,42.0,1.43,6.1,1
1540517,71.2,75.1,2.08,7.7,1
1540518,136.2,44.7,1.85,6.5,0
1540519,132.8,0.0,1.49,7.8,0
1540520,92.0,12.6,1.37,6.6,0
1540521,69.6,67.5,0.75,4.4,1
1540522,146.1,57.2,0.84,6.4,0
1540523,127.6,22.8,2.15,5.7,1
1540524,118.6,47.9,1.38,9.2,1
1540525,164.0,59.1,0.88,5.4,0
1540526,92.9,50.7,1.66,7.7,1
1540527,139.7,55.3,1.58,7.6,0
1540528,113.2,81.8,1.78,7.4,0
1540529,130.0,62.3,1.58,6.8,1
1540530,64.3,35.4,0.86,9.7,0
1540531,115.5,35.0,1.9,7.3,1
1540532,98.1,33.5,1.57,8.7,0
1540533,94.8,46.2,1.78,7.1,0
1540534,128.9,43.6,0.8,5.4,0
1540535,64.2,35.9,1.49,6.6,1
1540536,72.4,28.7,1.62,7.5,1
1540537,115.9,54.4,1.1,5.8,1
1540538,134.3,51.1,1.33,10.0,0
1540539,124.1,29.5,1.76,6.5,0
1540540,36.0,19.0,2.05,5.3,1
1540541,116.7,44.0,0.95,9.5,1
1540542,93.7,76.7,1.69,6.9,1
1540543,132.3,43.5,1.05,8.5,1
1540544,93.9,38.6,1.07,10.0,1
1540545,98.6,43.7,1.76,10.0,1
1540546,97.0,31.7,1.91,7.1,1
1540547,66.9,50.6,1.13,5.8,0
1540548,122.5,41.8,1.71,5.9,1
1540549,132.3,32.9,2.06,7.0,0
1540550,105.5,3.1,1.33,7.4,0
1540551,105.6,60.7,1.07,4.1,0
1540552,43.7,56.9,1.22,7.1,0
1540553,148.9,74.3,0.94,8.9,0
1540554,110.9,45.4,1.33,6.2,1
1540555,108.5,68.1,1.33,7.5,0
1540556,99.1,55.6,1.37,7.1,0
1540557,75.7,34.4,1.76,7.1,0
1540558,137.3,46.3,1.61,8.3,0
1540559,125.5,37.3,1.15,7.8,0
1540560,90.6,47.3,0.72,5.7,1
1540561,90.0,69.9,1.02,5.8,0
1540562,77.0,48.8,1.83,8.6,0
1540563,115.8,48.2,1.01,6.1,1
1540564,132.8,43.0,1.98,6.5,0
1540565,64.9,58.2,1.73,7.1,1
1540566,109.4,39.6,1.46,8.3,1
1540567,89.0,51.0,1.51,9.1,1
1540568,111.5,72.4,1.63,7.7,0
1540569,103.5,32.2,1.51,8.1,1
1540570,66.3,51.9,1.46,8.5,0
1540571,66.7,40.4,1.79,8.0,1
1540572,80.8,45.7,1.51,7.7,0
1540573,79.7,46.9,1.44,8.9,1
1540574,100.1,31.9,1.08,9.2,0
1540575,120.0,69.1,1.93,6.8,0
1540576,96.1,47.5,1.69,8.8,1
1540577,87.1,52.0,1.73,6.9,0
1540578,105.5,69.3,1.55,7.0,1
1540579,120.1,0.0,0.81,3.8,1
1540580,122.5,36.6,1.07,9.5,1
1540581,87.8,32.5,1.55,6.2,1
1540582,104.9,43.3,1.12,5.4,1
1540583,87.9,50.2,1.44,6.4,0
1540584,73.3,60.3,1.66,8.3,0
1540585,103.1,21.0,2.15,8.9,1
1540586,77.8,65.7,1.11,5.5,0
1540587,89.4,53.3,1.87,10.0,0
1540588,123.3,64.7,1.41,6.1,1
1540589,84.0,26.7,1.18,7.6,1
1540590,121.0,49.5,0.95,8.4,0
1540591,77.8,40.2,1.82,10.0,1
1540592,120.8,25.0,1.53,7.7,0
1540593,74.3,31.4,1.89,7.0,1
1540594,143.8,48.7,1.87,9.4,1
1540595,106.5,30.6,2.3,5.5,1
1540596,82.5,39.1,1.33,6.1,1
1540597,111.0,13.5,1.07,7.6,0
1540598,143.7,48.6,1.0,5.2,0
1540599,114.5,40.1,1.37,9.6,0
1540600,125.6,24.5,2.33,6.7,1
1540601,98.7,,1.35,7.1,1
1540602,112.0,53.1,2.16,8.8,0
1540603,73.3,33.7,1.05,5.9,0
1540604,97.9,41.6,2.6,7.9,0
1540605,113.0,59.3,1.12,6.6,1
1540606,81.0,54.0,1.59,4.2,1
1540607,108.6,42.1,0.83,7.5,0
1540608,108.9,45.0,1.29,6.7,0
1540609,88.1,44.6,1.13,7.1,1
1540610,113.7,57.4,1.32,6.4,1
1540611,108.1,33.1,1.58,7.6,0
1540612,129.1,35.9,1.76,6.3,1
1540613,61.5,66.6,0.98,8.4,1
1540614,80.6,47.1,1.49,8.2,0
1540615,89.8,56.4,1.71,7.0,0
1540616,120.6,9.9,1.38,5.9,0
1540617,45.2,42.1,1.66,9.9,1
1540618,89.0,38.7,1.44,7.4,0
1540619,109.6,47.8,2.54,6.7,0
1540620,96.9,61.8,1.52,7.7,1
1540621,101.7,49.0,1.3,6.4,1
1540622,84.8,56.7,1.51,7.2,0
1540623,75.3,47.8,1.57,4.4,0
1540624,89.1,18.0,1.45,6.6,1
1540625,121.3,56.2,0.68,7.5,1
1540626,130.8,30.0,1.73,7.5,1
1540627,102.1,43.7,1.74,10.0,1
1540628,74.0,45.4,1.09,7.8,1
1540629,102.8,40.0,2.25,8.3,1
1540630,104.5,56.5,1.37,6.7,0
1540631,53.5,52.7,0.95,8.1,1
1540632,94.5,34.3,1.56,6.8,0
