ProjectID,ProjectBudget_K,RequiredSkillsCount,FreelancerRating,MatchingTimeHours,CompletionOnTime
1440223,73.0,80.6,93.2,15.6,0
1440224,56.9,115.1,104.2,33.4,0
1440225,66.8,115.8,96.5,20.1,1
1440226,77.6,115.1,103.9,3.6,1
1440227,73.5,103.0,60.5,13.6,1
1440228,82.5,100.9,73.4,11.9,1
1440229,71.9,24.3,102.2,6.6,0
1440230,72.1,138.9,85.7,15.8,1
1440231,83.4,102.7,71.2,7.0,1
1440232,72.5,116.4,86.5,16.4,1
1440233,94.2,88.1,94.2,11.8,1
1440234,72.4,143.2,78.5,14.4,1
1440235,88.8,126.7,108.2,5.2,0
1440236,47.6,83.9,81.0,11.6,1
1440237,98.1,96.8,80.2,10.7,1
1440238,98.7,57.0,144.7,9.7,0
1440239,98.5,99.6,62.9,60.3,1
1440240,96.0,98.0,101.8,3.8,0
1440241,65.5,93.1,111.4,4.0,0
1440242,76.1,71.2,157.9,13.3,0
1440243,87.9,70.8,137.9,7.1,0
1440244,51.7,109.2,110.2,9.2,1
1440245,63.8,127.1,76.0,1.6,1
1440246,52.8,117.1,136.1,2.3,0
1440247,95.7,93.0,79.3,20.6,0
1440248,69.8,83.3,105.2,40.7,1
1440249,55.2,94.7,141.8,68.0,0
1440250,45.3,133.8,143.3,15.4,0
1440251,49.5,91.2,104.4,10.8,0
1440252,75.6,82.6,102.1,20.2,1
1440253,67.1,102.0,124.4,8.4,0
1440254,63.1,144.1,134.7,1.0,0
1440255,92.2,125.3,76.5,2.4,0
1440256,65.1,124.9,98.4,25.1,1
1440257,61.6,84.9,141.0,3.2,0
1440258,66.9,101.0,100.1,24.7,1
1440259,80.2,62.6,112.2,4.0,0
1440260,110.6,110.6,99.9,4.6,1
1440261,52.9,110.9,46.3,7.3,1
1440262,44.0,96.5,125.6,31.0,0
1440263,105.6,136.9,80.7,3.3,1
1440264,53.9,89.0,123.2,13.6,0
1440265,96.1,69.4,36.2,2.6,1
1440266,82.8,48.0,65.7,5.6,1
1440267,73.6,165.7,113.9,5.4,0
1440268,96.2,111.8,96.1,2.0,0
1440269,78.2,81.7,92.9,19.0,0
1440270,82.2,109.6,73.2,28.5,1
1440271,25.3,89.7,96.2,6.2,0
1440272,69.0,139.1,92.1,9.4,0
1440273,48.0,123.5,152.8,8.9,0
1440274,69.8,111.5,88.6,7.9,1
1440275,102.8,87.1,100.7,3.7,0
1440276,75.9,115.3,108.7,37.3,1
1440277,90.5,131.0,105.4,19.7,0
1440278,75.2,98.4,110.3,4.1,0
1440279,76.1,92.7,110.5,8.0,0
1440280,89.9,135.4,104.1,12.7,1
1440281,78.7,113.2,70.7,39.7,0
1440282,88.8,125.6,101.2,22.0,0
1440283,68.5,69.5,96.5,12.7,1
1440284,76.3,105.3,135.3,19.9,0
1440285,20.0,137.0,77.9,3.5,0
1440286,101.7,120.8,86.5,21.9,0
1440287,56.9,159.2,120.5,9.3,0
1440288,67.7,91.3,59.2,3.9,1
1440289,113.7,65.1,111.4,9.0,0
1440290,58.8,118.0,93.9,4.6,1
1440291,94.0,69.7,139.4,15.9,0
1440292,67.9,106.5,105.2,4.1,0
1440293,97.8,103.1,34.3,6.3,0
1440294,89.9,54.0,100.8,16.6,1
1440295,62.1,40.8,68.6,18.3,1
1440296,88.3,104.1,87.0,12.5,1
1440297,74.2,79.7,131.7,12.3,0
1440298,68.6,86.4,105.0,16.8,0
1440299,53.6,102.7,90.5,10.4,1
1440300,76.9,92.1,96.5,24.3,1
1440301,101.9,106.4,105.2,5.4,0
1440302,94.8,110.9,51.8,16.5,1
1440303,84.1,162.2,100.9,31.6,1
1440304,49.4,67.4,167.3,2.5,1
1440305,90.2,86.7,86.9,37.7,1
1440306,67.5,108.1,95.0,21.0,1
1440307,42.2,108.2,97.4,1.0,0
1440308,83.8,131.1,62.2,10.8,1
1440309,32.5,68.5,82.5,4.4,1
1440310,90.5,91.6,80.6,13.3,0
1440311,97.3,118.7,123.3,26.4,1
1440312,52.9,101.3,104.1,1.0,0
1440313,84.3,51.6,68.1,19.8,1
1440314,85.7,88.2,86.5,8.5,1
1440315,24.4,68.5,108.2,32.3,1
1440316,44.6,89.2,105.2,5.2,0
1440317,79.3,95.1,102.3,13.9,1
1440318,94.9,122.2,79.8,4.2,1
1440319,104.1,63.4,131.3,4.3,0
1440320,83.5,61.1,93.4,5.0,1
1440321,43.9,118.7,142.2,52.8,0
1440322,38.8,149.4,85.7,8.7,0
1440323,88.3,137.5,109.9,23.1,1
1440324,72.4,151.7,131.8,2.5,1
1440325,46.1,75.6,111.4,24.8,0
1440326,59.5,125.5,110.4,36.0,1
1440327,43.4,161.6,59.3,2.6,1
1440328,68.4,135.0,98.3,8.5,0
1440329,76.5,96.7,107.7,31.0,1
1440330,71.0,117.5,39.9,21.0,1
1440331,80.8,131.5,74.6,15.6,1
1440332,72.5,60.4,117.0,24.3,0
1440333,71.5,96.3,43.3,11.4,1
1440334,86.5,102.8,142.0,2.3,0
1440335,83.9,86.7,90.8,1.0,0
1440336,74.1,94.5,75.7,20.3,1
1440337,100.8,132.7,77.7,1.0,0
1440338,72.2,58.6,96.0,25.6,1
1440339,65.8,30.6,117.7,8.5,1
1440340,90.3,83.1,131.1,9.0,0
1440341,80.9,113.1,94.0,19.4,1
1440342,66.9,111.0,132.1,8.0,0
1440343,74.6,112.1,108.1,7.8,0
1440344,33.4,90.4,93.3,52.0,1
1440345,80.7,68.8,106.7,4.1,0
1440346,90.1,142.7,130.5,21.7,0
1440347,70.8,94.9,97.4,2.8,1
1440348,86.7,108.1,80.9,24.2,1
1440349,82.8,42.6,90.7,5.6,1
1440350,86.2,95.9,100.8,3.4,0
1440351,73.1,100.1,89.8,8.8,1
1440352,75.4,124.5,101.5,6.2,0
1440353,96.8,113.1,95.4,13.2,1
1440354,91.0,85.0,81.6,11.5,1
1440355,98.9,85.0,62.0,29.2,1
1440356,41.7,129.7,111.3,11.2,0
1440357,66.1,141.7,114.7,5.1,0
1440358,100.7,85.9,86.5,9.3,1
1440359,57.6,89.1,85.0,1.9,0
1440360,72.6,87.1,117.0,15.9,0
1440361,61.4,79.5,81.0,12.8,1
1440362,69.8,106.8,66.6,25.7,1
1440363,83.2,150.1,70.3,18.2,1
1440364,70.1,105.3,83.1,11.4,1
1440365,116.9,91.3,87.2,4.3,0
1440366,49.4,129.7,93.6,7.9,1
1440367,74.3,83.4,95.0,48.1,0
1440368,43.1,95.6,99.8,4.6,1
1440369,60.1,132.9,71.0,10.2,0
1440370,90.2,81.4,116.0,5.1,0
1440371,100.4,97.6,107.6,3.1,0
1440372,76.4,43.3,51.6,9.2,1
1440373,73.0,51.8,108.0,51.9,1
1440374,121.9,122.3,110.1,17.8,0
1440375,93.7,83.9,105.7,70.9,1
1440376,62.5,113.7,124.1,1.4,0
1440377,38.4,133.6,107.5,36.9,1
1440378,47.8,89.5,150.8,10.9,0
1440379,72.7,95.3,64.3,2.8,1
1440380,117.3,94.1,89.5,20.1,1
1440381,73.4,105.2,75.7,1.0,1
1440382,81.6,88.4,92.3,5.9,1
1440383,64.3,65.5,83.0,3.4,1
1440384,57.2,30.3,126.2,22.7,1
1440385,118.0,148.3,109.2,32.5,1
1440386,39.3,163.2,96.9,8.0,0
1440387,58.5,93.8,66.0,31.0,1
1440388,68.6,103.1,115.7,12.2,1
1440389,90.5,92.8,89.8,12.8,1
1440390,97.1,107.0,58.1,43.0,0
1440391,113.0,132.4,105.0,8.1,0
1440392,61.8,102.4,95.2,18.8,0
1440393,76.8,102.2,94.1,3.1,1
1440394,74.0,68.4,140.2,23.3,0
1440395,83.5,80.9,84.9,8.1,0
1440396,80.7,82.9,104.8,1.9,0
1440397,70.3,105.2,73.8,27.6,1
1440398,110.7,98.9,124.3,32.2,0
1440399,78.6,124.2,100.7,50.0,0
1440400,77.7,86.3,105.5,5.1,0
1440401,81.3,103.6,93.4,7.4,1
1440402,71.9,117.7,111.8,7.4,0
1440403,66.9,92.1,105.9,5.2,0
1440404,80.3,139.0,68.7,20.9,1
1440405,93.2,111.1,89.7,48.9,1
1440406,82.2,128.5,114.7,1.4,0
1440407,59.4,67.7,92.4,31.3,1
1440408,55.4,109.9,125.9,30.6,0
1440409,83.8,107.1,85.8,21.7,1
1440410,82.4,127.0,91.6,1.3,1
1440411,57.1,107.1,78.7,1.0,1
1440412,63.0,87.7,59.8,38.2,1
1440413,44.8,108.1,106.8,1.0,1
1440414,43.4,104.3,80.5,75.0,1
1440415,90.1,95.9,62.9,5.1,1
1440416,37.8,81.9,71.5,18.0,0
1440417,48.6,89.7,119.3,43.7,1
1440418,93.8,99.0,55.3,3.0,1
1440419,35.0,87.6,50.7,31.4,1
1440420,93.8,109.7,108.7,3.4,0
1440421,89.9,126.0,142.2,27.4,0
1440422,53.0,59.9,126.1,18.8,0
1440423,90.5,116.6,129.7,1.0,1
1440424,94.0,70.2,110.1,30.8,1
1440425,82.8,110.7,119.7,14.4,0
1440426,58.5,124.5,96.2,4.6,1
1440427,62.8,105.6,116.1,19.3,0
1440428,57.4,120.4,121.2,20.9,0
1440429,50.8,116.9,53.5,2.4,1
1440430,61.1,104.9,75.2,7.3,1
1440431,68.6,105.3,56.7,13.9,1
1440432,56.0,78.7,103.3,1.0,0
1440433,52.3,102.9,107.9,1.2,0
1440434,74.7,84.4,94.8,1.0,0
1440435,80.0,109.6,105.6,14.9,1
1440436,68.1,49.1,110.7,5.5,0
1440437,107.9,64.4,108.5,1.4,0
1440438,53.6,64.7,121.6,8.1,0
1440439,76.6,132.6,131.7,6.8,0
1440440,102.7,93.7,97.4,14.4,0
1440441,63.7,114.0,93.4,5.2,0
1440442,33.3,112.1,111.0,25.4,1
1440443,74.1,86.3,61.0,27.5,1
1440444,92.4,84.0,113.9,1.0,0
1440445,94.0,100.4,101.3,28.1,1
1440446,106.8,98.2,109.8,7.1,1
1440447,91.4,80.5,95.5,6.9,0
1440448,109.4,113.2,121.5,6.6,0
1440449,71.4,116.6,69.8,2.1,0
1440450,81.9,80.4,93.8,16.7,1
1440451,107.2,109.0,135.4,2.5,1
1440452,84.2,83.8,118.5,5.9,0
1440453,94.5,101.9,139.8,3.8,0
1440454,82.1,80.5,108.7,31.4,0
1440455,96.9,117.7,89.4,33.2,0
1440456,64.0,122.5,110.6,3.7,0
1440457,37.5,106.3,72.5,11.6,1
1440458,85.5,79.9,85.5,26.6,0
1440459,56.4,87.9,102.0,11.7,0
1440460,93.9,32.2,127.9,4.3,0
1440461,60.4,112.2,103.1,60.1,1
1440462,69.7,118.2,77.6,38.5,0
1440463,76.1,116.0,66.3,3.4,1
1440464,68.5,113.3,99.4,10.2,0
1440465,62.9,122.3,99.8,1.1,0
1440466,97.6,93.3,38.9,2.9,1
1440467,86.7,96.0,110.5,1.8,1
1440468,70.8,144.7,123.8,6.5,0
1440469,66.4,54.2,109.2,5.3,0
1440470,94.8,81.8,88.5,7.8,0
1440471,71.4,165.8,93.8,26.5,1
1440472,103.7,82.4,98.5,9.2,1
1440473,85.2,83.9,108.8,9.1,1
1440474,118.0,106.8,150.8,21.0,0
1440475,87.1,141.2,121.4,51.8,0
1440476,59.5,105.3,115.6,11.9,0
1440477,20.0,77.6,63.0,13.0,0
1440478,58.0,110.1,96.3,20.8,1
1440479,58.0,71.2,83.6,1.9,1
1440480,81.2,160.7,118.5,5.2,0
1440481,46.0,111.9,78.2,7.6,1
1440482,58.3,75.5,99.6,1.0,0
1440483,65.2,94.6,123.1,12.5,0
1440484,75.6,56.8,99.4,16.6,1
1440485,61.7,69.8,92.9,3.9,1
1440486,46.6,66.2,118.2,9.6,0
1440487,60.9,135.0,86.1,40.7,1
1440488,86.7,100.8,132.0,11.2,0
1440489,101.0,100.4,94.3,1.3,1
1440490,80.1,111.3,102.9,7.2,1
1440491,94.4,92.3,82.7,11.8,1
1440492,93.0,125.6,116.3,15.4,0
1440493,96.6,109.6,132.3,5.3,1
1440494,79.1,95.3,136.6,2.1,0
1440495,86.1,91.2,75.9,2.9,0
1440496,89.8,75.7,121.5,36.6,0
1440497,78.7,76.4,123.2,3.6,0
1440498,57.1,114.4,88.6,4.4,1
1440499,63.2,81.6,108.0,6.3,0
1440500,37.8,70.1,131.9,10.3,0
1440501,119.6,97.3,136.3,17.2,0
1440502,92.7,96.3,96.2,8.7,0
1440503,76.2,80.1,114.7,10.1,0
1440504,108.4,102.0,97.3,2.1,0
1440505,67.4,134.7,98.7,1.3,1
1440506,68.9,100.4,134.4,8.5,0
1440507,24.3,60.7,99.8,,0
1440508,81.5,22.5,117.5,21.5,0
1440509,37.0,76.0,81.8,22.1,1
1440510,79.1,132.8,113.8,2.6,0
1440511,100.2,90.1,74.1,17.3,1
1440512,78.3,136.2,109.8,11.4,0
1440513,56.9,98.4,93.7,3.7,1
1440514,44.6,98.4,154.6,9.5,0
1440515,65.0,117.6,118.6,14.0,1
1440516,59.8,97.8,73.7,27.6,0
1440517,52.8,158.9,177.5,33.5,0
1440518,80.9,118.5,97.0,1.0,0
1440519,46.7,114.4,83.9,1.6,1
1440520,54.3,140.5,144.1,50.0,1
1440521,88.5,86.9,106.6,,1
1440522,62.7,121.4,111.7,16.8,1
1440523,106.0,58.6,88.2,14.9,0
1440524,102.2,76.0,98.4,37.2,1
1440525,99.1,67.5,122.6,14.4,0
1440526,57.7,116.5,99.6,19.8,0
1440527,78.1,114.0,125.6,64.3,0
1440528,74.9,77.8,89.5,6.8,0
1440529,60.7,117.6,112.4,9.5,1
1440530,20.0,112.3,107.3,1.0,1
1440531,104.5,60.6,88.1,3.1,0
1440532,45.7,74.2,103.9,1.2,1
1440533,52.8,105.6,90.9,20.1,1
1440534,49.3,67.0,103.5,9.9,1
1440535,103.4,137.2,88.6,87.7,1
1440536,71.0,102.5,55.4,6.3,1
1440537,104.8,98.1,86.4,5.4,1
1440538,78.5,65.3,78.7,8.9,1
1440539,62.8,108.5,56.7,6.6,1
1440540,61.0,123.3,81.0,4.4,0
1440541,55.0,135.8,100.5,9.1,0
1440542,104.0,77.2,77.3,2.9,1
1440543,102.4,89.9,95.3,9.3,1
1440544,79.8,87.4,115.3,13.3,0
1440545,121.1,100.0,116.0,1.0,1
1440546,95.5,40.3,99.1,37.3,1
1440547,59.4,47.6,111.3,2.0,0
1440548,74.6,113.4,83.9,8.0,1
1440549,76.7,71.4,103.0,12.9,0
1440550,41.6,104.8,96.9,22.6,0
1440551,49.3,77.0,68.0,,1
1440552,94.8,90.2,119.5,1.0,0
1440553,115.4,109.4,112.1,8.2,1
1440554,78.0,107.6,82.1,1.0,1
1440555,74.5,72.1,134.1,68.0,0
1440556,93.0,101.7,97.4,21.0,1
1440557,82.9,80.7,81.1,52.6,0
1440558,55.8,54.6,58.6,3.5,1
1440559,82.9,121.6,112.6,15.3,1
1440560,46.4,51.5,116.6,10.4,0
1440561,78.7,104.0,88.7,1.1,0
1440562,98.9,106.5,142.0,1.0,1
1440563,97.6,97.3,86.0,7.5,1
1440564,66.3,118.3,119.3,25.6,0
1440565,91.8,117.5,118.1,1.0,0
1440566,98.1,93.2,51.7,18.7,1
1440567,58.8,91.2,100.8,28.8,0
1440568,62.8,126.0,74.6,11.9,1
1440569,71.6,93.7,86.6,5.4,1
1440570,62.4,67.5,87.3,1.7,0
1440571,61.7,78.2,78.0,17.5,1
1440572,56.1,118.3,85.7,22.9,1
1440573,98.3,47.6,108.9,5.0,0
1440574,29.6,74.3,60.7,3.0,1
1440575,81.8,78.2,77.2,10.0,1
1440576,68.7,65.5,126.3,3.7,1
1440577,34.2,138.4,102.0,15.4,0
1440578,78.9,118.1,114.3,21.6,0
1440579,41.4,121.4,125.1,9.3,0
1440580,81.0,82.1,60.6,1.0,1
1440581,78.3,77.9,124.2,23.9,0
1440582,54.6,102.2,124.5,27.1,0
1440583,71.2,78.5,90.3,19.1,1
1440584,117.5,135.9,117.6,1.0,0
1440585,67.7,78.1,110.6,3.4,0
1440586,40.1,63.6,118.4,5.8,0
1440587,89.3,131.4,117.6,12.0,0
1440588,60.8,78.8,126.6,12.5,1
1440589,29.9,124.0,146.2,,0
1440590,65.5,78.5,85.6,21.4,1
1440591,81.1,162.4,120.6,1.0,0
1440592,66.7,114.8,74.6,4.0,1
1440593,64.3,152.9,103.4,3.6,0
1440594,39.5,124.4,113.5,,0
1440595,61.5,126.3,89.2,16.3,1
1440596,50.2,79.6,104.4,1.0,0
1440597,81.4,79.0,104.8,1.6,1
1440598,47.3,118.0,80.7,13.8,0
1440599,65.8,145.0,107.4,11.1,1
1440600,97.5,116.4,85.0,33.8,1
1440601,87.4,133.9,119.1,49.9,1
1440602,111.6,129.5,113.8,8.8,1
1440603,104.4,122.5,63.4,1.4,1
1440604,47.8,119.2,92.1,1.0,0
1440605,119.5,101.3,118.7,3.6,0
1440606,86.5,111.6,105.4,37.8,0
1440607,47.7,91.2,79.1,30.8,1
1440608,76.9,106.8,117.3,3.1,0
1440609,57.6,124.4,101.1,5.9,0
1440610,62.8,95.4,77.3,32.3,1
1440611,83.7,79.5,140.0,10.4,1
1440612,35.5,128.0,83.9,6.7,1
1440613,79.8,124.0,25.6,2.1,1
1440614,66.9,110.5,129.8,25.2,1
1440615,51.7,100.7,77.1,11.5,0
1440616,50.1,87.4,101.3,3.4,0
1440617,91.8,91.5,49.4,8.9,1
1440618,99.0,68.3,66.9,1.0,1
1440619,60.7,150.8,102.0,21.3,1
1440620,62.7,100.9,116.3,8.2,0
1440621,70.9,143.7,81.3,17.0,1
1440622,41.2,84.3,74.9,7.6,1
1440623,78.7,124.5,66.0,13.9,0
1440624,90.1,75.4,106.4,55.4,1
1440625,55.9,109.8,48.0,6.0,1
1440626,49.4,73.6,129.2,35.6,0
1440627,50.9,110.0,107.3,10.8,1
1440628,77.6,116.2,72.5,1.0,1
1440629,56.6,97.1,133.1,1.6,0
1440630,106.2,99.5,104.0,1.5,0
1440631,60.1,116.9,71.4,8.2,1
1440632,63.5,106.7,103.6,10.4,0
