FlightID,WindSpeedKmh,PayloadWeight_Kg,FlightRangeRemaining_Km,VoltageDrop_Volts,MissionAborted
1400160,10.2,121.7,15.9,33.0,92.1
1400161,13.3,95.0,6.7,32.0,66.1
1400162,4.3,106.0,,37.0,63.1
1400163,9.1,76.3,11.5,64.0,116.7
1400164,17.4,149.4,9.0,64.0,87.7
1400165,12.0,106.3,0.5,35.0,116.4
1400166,11.0,121.4,7.5,43.0,91.2
1400167,10.5,140.5,1.6,28.0,123.5
1400168,20.9,99.7,15.3,59.0,73.5
1400169,13.9,113.7,6.6,50.0,97.4
1400170,11.6,132.6,16.4,61.0,116.8
1400171,11.7,68.9,6.6,71.0,78.8
1400172,12.4,138.9,0.4,42.0,148.6
1400173,15.7,64.7,3.5,34.0,124.8
1400174,13.0,105.5,8.7,17.0,125.8
1400175,17.0,59.8,1.3,75.0,82.6
1400176,11.5,110.9,15.8,47.0,133.3
1400177,9.5,42.4,4.9,12.0,115.4
1400178,13.9,112.6,4.1,52.0,109.0
1400179,10.9,90.2,10.5,37.0,138.3
1400180,7.6,40.4,9.7,32.0,127.7
1400181,8.8,98.7,42.6,29.0,106.7
1400182,14.8,97.3,3.9,55.0,122.4
1400183,15.2,88.5,9.1,42.0,99.5
1400184,15.3,101.3,0.7,32.0,65.5
1400185,10.3,85.2,4.9,32.0,142.3
1400186,17.7,89.3,4.3,43.0,84.4
1400187,13.4,86.9,6.6,49.0,79.5
1400188,20.8,87.1,22.9,39.0,139.9
1400189,14.6,120.4,4.9,31.0,53.4
1400190,13.8,116.5,8.9,47.0,80.8
1400191,5.5,115.7,3.7,57.0,121.6
1400192,17.0,97.4,5.0,52.0,76.4
1400193,6.9,52.7,24.4,58.0,115.2
1400194,10.0,124.3,15.6,37.0,126.2
1400195,10.5,121.1,36.2,36.0,100.9
1400196,18.4,85.9,4.9,20.0,89.1
1400197,7.2,117.1,4.5,16.0,125.0
1400198,5.4,101.6,1.9,46.0,134.1
1400199,10.2,122.8,11.4,31.0,105.8
1400200,20.4,120.5,0.5,52.0,69.6
1400201,10.7,93.6,7.2,31.0,79.8
1400202,13.7,114.3,1.7,35.0,96.7
1400203,7.0,149.2,2.9,46.0,143.8
1400204,19.5,67.3,11.4,37.0,117.7
1400205,20.5,77.8,17.7,60.0,93.7
1400206,14.7,108.6,18.4,33.0,116.6
1400207,19.9,100.7,2.4,57.0,91.5
1400208,13.3,111.6,12.7,50.0,94.8
1400209,16.3,114.4,13.6,27.0,91.7
1400210,8.2,75.3,0.6,38.0,106.4
1400211,16.7,120.6,27.3,34.0,95.2
1400212,1.0,99.6,3.0,31.0,112.1
1400213,10.9,107.5,0.4,20.0,85.1
1400214,3.7,61.4,3.2,47.0,111.1
1400215,13.8,77.1,8.6,51.0,105.5
1400216,10.7,104.4,4.3,43.0,78.8
1400217,17.4,99.8,15.1,18.0,128.6
1400218,15.6,159.2,4.6,38.0,105.0
1400219,15.5,136.3,8.4,31.0,93.9
1400220,6.6,77.4,6.4,65.0,131.0
1400221,14.3,136.8,0.1,57.0,86.2
1400222,12.1,57.6,14.5,29.0,104.2
1400223,8.9,122.2,5.2,56.0,67.0
1400224,12.2,96.4,15.4,40.0,128.2
1400225,9.8,88.9,2.2,28.0,97.3
1400226,20.2,102.8,1.7,42.0,116.6
1400227,11.5,91.7,15.7,41.0,90.8
1400228,13.1,109.9,13.1,54.0,138.2
1400229,9.3,105.4,4.2,36.0,102.3
1400230,17.8,117.3,3.3,35.0,122.8
1400231,13.2,89.5,12.1,34.0,100.6
1400232,6.1,102.1,2.6,57.0,117.8
1400233,15.7,46.9,1.7,31.0,86.2
1400234,12.1,47.0,18.7,30.0,40.1
1400235,12.2,111.4,0.1,38.0,85.3
1400236,9.6,89.6,14.8,49.0,99.7
1400237,10.5,113.7,0.8,44.0,73.5
1400238,17.4,135.7,,33.0,82.6
1400239,9.4,109.1,7.8,39.0,94.6
1400240,12.2,129.6,0.1,37.0,86.7
1400241,21.7,97.6,8.0,6.0,152.6
1400242,8.8,84.6,12.7,66.0,89.0
1400243,12.1,112.6,2.6,56.0,86.1
1400244,14.8,116.4,1.2,49.0,90.0
1400245,8.0,123.9,9.2,39.0,72.1
1400246,17.1,113.6,,47.0,82.3
1400247,14.8,101.3,0.3,66.0,88.5
1400248,14.2,76.8,4.5,24.0,63.7
1400249,11.7,78.3,0.4,27.0,90.9
1400250,10.5,122.5,0.1,50.0,110.7
1400251,6.0,73.7,5.2,56.0,113.9
1400252,2.7,85.1,12.9,43.0,96.7
1400253,1.8,95.2,0.4,34.0,90.5
1400254,15.6,115.4,0.3,26.0,95.7
1400255,15.4,88.9,1.6,68.0,109.8
1400256,11.6,86.5,5.6,48.0,74.7
1400257,8.3,141.7,19.4,26.0,70.9
1400258,13.6,119.3,7.7,53.0,130.3
1400259,16.6,97.3,22.6,42.0,66.4
1400260,13.8,67.9,8.1,50.0,80.9
1400261,10.5,91.7,12.1,20.0,132.0
1400262,8.1,82.7,5.3,31.0,68.4
1400263,8.0,98.1,14.3,48.0,105.6
1400264,12.3,99.9,9.3,58.0,133.0
1400265,13.2,91.2,18.6,39.0,105.3
1400266,18.1,111.5,11.5,36.0,125.6
1400267,10.5,98.3,2.5,68.0,118.0
1400268,17.2,91.6,18.1,62.0,97.4
1400269,15.4,102.3,3.2,48.0,104.8
1400270,7.4,87.9,9.3,32.0,107.2
1400271,14.0,114.0,2.3,56.0,126.5
1400272,15.7,75.9,1.1,49.0,131.1
1400273,11.4,104.6,0.7,19.0,120.9
1400274,10.6,116.7,1.8,42.0,109.7
1400275,9.7,84.2,5.3,46.0,117.7
1400276,17.9,127.7,0.8,56.0,93.4
1400277,12.7,104.5,10.3,14.0,111.9
1400278,8.5,152.4,0.7,41.0,52.9
1400279,8.6,131.4,30.3,18.0,95.5
1400280,7.9,104.1,8.0,35.0,65.9
1400281,5.6,104.3,13.2,38.0,115.8
1400282,9.9,94.7,8.6,52.0,100.1
1400283,9.5,91.1,12.4,61.0,122.0
1400284,9.2,136.7,24.5,61.0,126.4
1400285,6.8,88.8,3.2,35.0,89.1
1400286,11.5,121.6,0.1,44.0,50.7
1400287,4.0,77.9,0.1,48.0,112.8
1400288,12.9,103.3,19.0,61.0,80.3
1400289,11.3,79.4,1.3,46.0,132.3
1400290,8.8,83.3,6.2,47.0,47.9
1400291,13.3,90.4,7.6,55.0,116.8
1400292,12.8,106.5,17.1,57.0,119.0
1400293,13.1,63.6,12.7,39.0,97.2
1400294,17.1,101.2,1.6,25.0,83.5
1400295,14.8,96.6,9.2,41.0,91.4
1400296,10.8,64.3,22.7,20.0,120.0
1400297,13.5,104.4,23.6,51.0,100.6
1400298,8.6,101.7,9.2,41.0,71.6
1400299,15.1,102.0,4.4,50.0,97.0
1400300,12.7,185.6,0.3,43.0,63.2
1400301,10.5,121.3,2.6,61.0,91.3
1400302,15.1,103.6,1.2,25.0,100.7
1400303,9.7,91.4,1.3,21.0,84.5
1400304,14.5,102.1,6.7,63.0,64.0
1400305,5.8,117.6,6.1,60.0,129.1
1400306,13.5,108.2,4.2,31.0,79.6
1400307,9.2,73.1,8.6,54.0,129.7
1400308,21.4,99.0,0.1,30.0,64.3
1400309,21.1,137.8,6.8,7.0,91.7
1400310,2.0,67.9,,29.0,126.1
1400311,8.9,125.9,20.4,38.0,104.8
1400312,13.0,51.5,4.8,49.0,108.1
1400313,16.0,135.9,4.0,55.0,144.3
1400314,10.2,55.5,0.2,61.0,58.3
1400315,10.9,110.9,7.0,85.0,75.4
1400316,29.9,153.7,13.1,52.0,97.2
1400317,9.7,119.9,5.6,46.0,84.3
1400318,13.9,116.0,13.6,47.0,92.5
1400319,17.0,122.5,11.8,68.0,112.0
1400320,10.7,61.6,,19.0,67.7
1400321,13.0,81.2,1.6,54.0,115.2
1400322,11.2,102.9,,53.0,115.5
1400323,12.2,92.4,27.6,5.0,99.0
1400324,12.1,113.1,5.4,37.0,78.4
1400325,17.7,49.3,12.5,47.0,98.7
1400326,15.2,50.1,1.4,41.0,86.7
1400327,17.8,71.0,7.8,42.0,54.8
1400328,6.6,122.5,15.6,45.0,112.6
1400329,9.3,119.5,5.5,40.0,106.1
1400330,16.5,78.5,4.6,35.0,59.5
1400331,15.3,82.7,10.4,53.0,98.1
1400332,14.8,88.1,8.6,49.0,125.0
1400333,11.3,97.1,0.1,29.0,62.8
1400334,10.1,119.7,2.4,49.0,83.5
1400335,11.6,94.7,3.5,26.0,123.2
1400336,8.3,96.2,3.6,38.0,57.6
1400337,12.7,72.0,3.7,42.0,93.6
1400338,18.4,103.3,2.0,32.0,113.0
1400339,7.9,110.0,1.6,39.0,123.8
1400340,7.0,111.3,8.6,63.0,125.2
1400341,18.8,127.4,2.7,28.0,84.2
1400342,11.3,116.0,8.2,25.0,98.8
1400343,17.3,133.2,0.6,60.0,64.2
1400344,25.9,149.2,3.5,37.0,106.5
1400345,17.7,112.8,5.1,47.0,104.4
1400346,7.5,63.3,6.6,32.0,89.5
1400347,12.1,120.3,20.5,46.0,89.5
1400348,9.0,117.0,5.1,48.0,98.0
1400349,19.0,71.0,8.3,52.0,97.7
1400350,11.4,96.3,10.2,45.0,93.0
1400351,12.0,64.4,13.4,36.0,89.7
1400352,12.8,106.3,10.8,39.0,138.8
1400353,16.3,114.9,1.8,49.0,95.5
1400354,3.1,77.4,0.8,27.0,120.2
1400355,10.6,104.0,4.3,33.0,101.8
1400356,13.5,125.5,3.7,72.0,110.1
1400357,13.9,100.2,29.1,56.0,80.0
1400358,5.2,121.5,10.8,37.0,109.5
1400359,16.5,79.9,1.3,44.0,97.3
1400360,14.6,130.3,16.8,37.0,87.2
1400361,8.3,68.2,17.1,32.0,146.0
1400362,6.4,104.6,1.5,48.0,95.5
1400363,4.4,75.4,6.7,47.0,105.7
1400364,12.9,78.8,5.3,52.0,109.7
1400365,7.3,91.5,10.5,37.0,101.5
1400366,16.2,103.2,2.4,47.0,95.3
1400367,8.8,83.2,3.8,42.0,76.1
1400368,15.5,77.7,14.4,23.0,126.8
1400369,15.0,85.4,0.1,38.0,62.5
1400370,16.4,87.3,2.0,45.0,70.3
1400371,16.1,116.4,0.3,10.0,76.5
1400372,13.3,67.7,2.1,48.0,96.4
1400373,13.7,75.8,3.3,67.0,94.0
1400374,1.0,101.7,1.4,80.0,86.4
1400375,7.4,63.2,7.0,28.0,116.4
1400376,12.8,80.7,0.2,49.0,112.2
1400377,21.8,77.8,0.4,47.0,121.9
1400378,11.2,116.0,27.4,44.0,97.0
1400379,11.2,79.6,1.7,38.0,128.8
1400380,7.8,91.3,6.7,17.0,77.5
1400381,8.2,124.1,17.4,87.0,96.1
1400382,1.0,91.8,1.4,42.0,45.8
1400383,12.0,58.1,18.9,25.0,90.5
1400384,10.4,147.8,1.6,69.0,102.8
1400385,16.8,86.8,3.5,29.0,97.9
1400386,15.0,39.9,,40.0,78.2
1400387,8.3,144.0,2.0,36.0,89.6
1400388,15.0,86.2,7.3,23.0,149.8
1400389,12.3,125.9,5.1,29.0,77.0
1400390,13.6,114.2,4.1,48.0,99.9
1400391,12.7,103.1,5.9,59.0,113.9
1400392,11.0,75.1,23.6,57.0,82.7
1400393,17.4,79.0,0.6,22.0,58.4
1400394,7.3,73.1,11.3,37.0,66.3
1400395,8.2,83.3,0.1,46.0,99.1
1400396,16.9,107.5,10.4,44.0,74.2
1400397,10.2,142.8,4.4,35.0,120.2
1400398,17.9,105.1,9.2,36.0,36.1
1400399,17.0,110.5,1.6,28.0,79.0
1400400,9.9,77.2,28.1,57.0,93.1
1400401,14.3,61.3,15.1,65.0,85.9
1400402,4.4,161.8,9.4,51.0,158.9
1400403,16.6,107.3,17.0,45.0,119.9
1400404,15.1,117.1,5.9,40.0,143.9
1400405,21.4,99.3,2.6,41.0,96.6
1400406,7.1,100.3,1.6,44.0,141.4
1400407,13.8,76.9,7.9,39.0,94.7
1400408,3.2,120.5,2.0,44.0,87.1
1400409,6.7,73.5,4.2,59.0,71.4
1400410,13.2,114.9,14.3,46.0,64.5
1400411,18.0,169.4,12.7,46.0,82.0
1400412,10.7,97.4,5.2,31.0,101.0
1400413,11.1,94.1,3.3,2.0,96.6
1400414,14.2,99.1,13.7,67.0,116.5
1400415,8.2,90.1,8.5,26.0,76.2
1400416,16.0,128.2,4.2,38.0,121.7
1400417,21.2,70.2,5.3,31.0,73.3
1400418,14.4,112.9,20.8,58.0,112.6
1400419,8.1,86.7,6.2,46.0,62.2
1400420,9.8,110.8,8.3,34.0,103.3
1400421,8.4,95.7,0.5,20.0,106.2
1400422,12.3,118.1,18.9,49.0,91.5
1400423,14.2,88.9,0.4,46.0,117.8
1400424,3.6,49.6,6.1,70.0,128.1
1400425,13.8,89.7,5.9,53.0,80.1
1400426,10.8,68.1,5.7,23.0,84.2
1400427,1.0,116.4,25.8,55.0,68.8
1400428,15.5,101.6,5.9,48.0,47.2
1400429,10.3,153.0,3.6,57.0,131.6
1400430,1.8,88.5,15.1,44.0,103.7
1400431,12.9,129.3,4.7,58.0,85.1
1400432,6.7,130.3,14.3,43.0,97.3
1400433,17.1,76.6,0.1,23.0,118.8
1400434,2.6,127.5,10.6,40.0,81.8
1400435,19.4,91.4,3.8,22.0,104.4
1400436,7.1,98.3,4.4,16.0,101.0
1400437,16.9,77.3,3.0,58.0,98.8
1400438,16.2,137.4,14.1,20.0,143.8
1400439,15.8,82.3,0.2,35.0,124.8
1400440,10.3,98.6,14.0,31.0,78.6
1400441,9.2,83.7,1.6,32.0,65.0
1400442,5.5,75.8,1.2,47.0,107.1
1400443,22.1,96.3,,59.0,48.8
1400444,6.4,63.9,6.4,37.0,83.6
1400445,5.9,101.5,6.0,62.0,105.8
1400446,9.8,100.8,,65.0,89.8
1400447,13.2,137.7,0.3,51.0,35.4
1400448,16.9,151.8,21.7,20.0,55.6
1400449,15.8,52.4,3.2,31.0,154.1
1400450,9.3,82.1,4.0,60.0,93.4
1400451,13.1,76.8,2.1,47.0,133.8
1400452,16.1,89.2,2.8,43.0,105.5
1400453,10.4,88.5,2.2,63.0,74.3
1400454,16.4,95.2,0.9,49.0,93.7
1400455,9.4,90.4,2.4,55.0,101.7
1400456,13.4,70.2,7.1,47.0,54.6
1400457,11.3,115.8,10.4,33.0,148.5
1400458,17.7,135.5,24.4,58.0,74.6
1400459,19.3,120.8,7.5,38.0,108.7
1400460,7.7,28.0,0.9,45.0,64.7
1400461,15.5,84.3,2.0,36.0,103.8
1400462,12.7,85.3,3.2,61.0,91.5
1400463,13.7,104.5,0.4,38.0,122.5
1400464,12.7,116.5,11.7,45.0,95.7
1400465,8.1,69.5,8.3,54.0,124.5
1400466,14.4,110.8,18.4,6.0,80.7
1400467,15.5,92.7,13.5,42.0,93.3
1400468,13.9,61.5,11.7,38.0,115.3
1400469,7.2,90.4,1.1,56.0,84.8
1400470,5.9,93.7,4.1,78.0,141.7
1400471,11.0,19.0,0.2,42.0,84.5
1400472,13.8,117.4,9.7,36.0,100.1
1400473,24.0,84.1,4.2,36.0,89.9
1400474,23.7,83.4,22.7,51.0,74.8
1400475,16.7,103.7,10.9,53.0,108.0
1400476,14.3,97.9,0.1,36.0,80.3
1400477,9.1,132.2,1.9,46.0,137.9
1400478,18.1,97.4,,40.0,88.9
1400479,15.2,111.4,0.2,41.0,103.8
1400480,10.7,98.1,1.2,62.0,92.6
1400481,9.8,84.0,1.8,39.0,88.5
1400482,11.5,144.2,3.3,56.0,80.2
1400483,3.3,117.9,11.9,55.0,126.3
1400484,3.2,101.2,6.1,22.0,123.8
1400485,9.8,70.9,2.4,41.0,77.2
1400486,9.9,110.0,7.6,49.0,92.0
1400487,10.7,126.2,2.7,47.0,69.3
1400488,7.6,84.2,6.2,32.0,112.3
1400489,11.1,93.2,11.0,64.0,82.8
1400490,15.0,87.6,19.3,42.0,121.3
1400491,9.3,86.1,5.3,44.0,64.6
1400492,8.4,62.2,18.2,36.0,103.7
1400493,17.1,84.5,18.5,28.0,70.5
1400494,17.0,101.1,3.7,24.0,99.8
1400495,15.1,113.8,24.9,63.0,158.8
1400496,10.0,69.3,14.8,67.0,87.5
1400497,11.2,72.5,7.0,35.0,89.1
1400498,4.8,131.2,1.2,45.0,123.2
1400499,10.4,108.8,6.5,37.0,113.8
1400500,15.6,96.0,2.1,55.0,124.2
1400501,1.2,106.1,10.5,31.0,98.8
1400502,14.2,124.1,4.5,39.0,80.4
1400503,14.8,92.6,5.8,15.0,113.9
1400504,8.7,100.8,3.6,57.0,137.0
1400505,13.3,78.9,33.2,46.0,124.4
1400506,9.5,88.4,6.9,57.0,132.4
1400507,4.4,58.5,7.4,40.0,104.3
1400508,22.1,137.6,7.5,32.0,95.0
1400509,3.5,114.9,5.0,31.0,114.8
1400510,6.4,85.0,3.7,78.0,88.5
1400511,12.3,91.3,0.3,53.0,143.8
1400512,20.8,61.2,0.1,58.0,92.0
1400513,11.2,134.5,5.8,45.0,137.4
1400514,15.1,85.9,13.9,39.0,59.8
1400515,17.9,118.8,4.7,49.0,129.4
1400516,10.7,82.9,4.3,25.0,74.0
1400517,17.3,143.5,1.0,49.0,127.0
1400518,23.7,127.0,3.8,31.0,79.7
1400519,9.9,119.5,3.7,32.0,73.2
1400520,11.9,42.0,2.3,51.0,69.7
1400521,18.8,107.1,5.4,26.0,103.3
1400522,17.1,90.2,1.3,33.0,102.1
1400523,9.3,141.4,2.0,53.0,84.9
1400524,16.4,118.1,1.5,33.0,75.8
1400525,22.5,146.0,7.1,28.0,86.0
1400526,14.2,83.1,7.4,70.0,153.2
1400527,9.9,116.6,0.9,69.0,73.7
1400528,10.7,101.2,1.2,39.0,73.3
1400529,15.2,103.1,18.0,35.0,82.3
1400530,20.0,85.8,7.2,49.0,106.2
1400531,10.6,128.0,13.6,29.0,85.6
1400532,11.4,107.7,20.4,61.0,88.6
1400533,9.7,91.1,1.5,65.0,129.2
1400534,11.7,93.6,9.7,47.0,107.6
1400535,8.8,147.0,4.2,29.0,118.2
1400536,17.4,82.3,0.1,30.0,128.0
1400537,6.4,87.0,1.9,58.0,109.2
1400538,13.1,88.7,11.2,50.0,57.3
1400539,3.3,99.8,0.1,89.0,129.6
1400540,14.6,82.8,2.2,39.0,78.3
1400541,1.0,95.3,39.1,38.0,138.6
1400542,9.5,68.2,35.0,29.0,78.3
1400543,6.2,83.8,2.5,50.0,96.2
1400544,14.9,136.5,13.9,23.0,77.7
1400545,16.6,86.0,7.4,21.0,97.8
1400546,22.0,97.3,3.1,47.0,117.4
1400547,16.4,97.5,7.2,41.0,112.6
1400548,12.0,113.9,3.1,30.0,61.2
1400549,8.0,82.4,6.6,52.0,79.7
1400550,5.8,167.0,2.7,48.0,101.5
1400551,8.8,96.1,22.6,22.0,95.0
1400552,14.6,125.6,4.2,23.0,93.0
1400553,15.1,115.1,5.5,53.0,119.8
1400554,1.0,116.8,22.3,44.0,122.1
1400555,20.8,130.9,0.9,51.0,117.5
1400556,5.7,71.9,31.2,35.0,48.2
1400557,17.3,57.5,5.8,48.0,71.3
1400558,16.0,93.0,8.5,4.0,127.8
1400559,11.1,135.3,3.7,53.0,122.9
1400560,10.5,105.4,1.1,47.0,83.8
1400561,7.0,127.0,1.5,40.0,91.6
1400562,7.2,99.1,0.1,69.0,79.7
1400563,14.6,139.8,5.7,60.0,71.7
1400564,11.7,94.2,4.5,7.0,93.8
1400565,10.2,74.0,25.5,36.0,108.9
1400566,12.5,102.6,3.9,43.0,97.3
1400567,14.2,41.7,7.6,27.0,115.0
1400568,12.2,121.7,11.4,57.0,143.3
1400569,11.6,79.7,0.7,43.0,148.1
1400570,6.3,82.1,0.8,23.0,156.0
1400571,13.5,54.4,2.8,18.0,49.0
1400572,17.5,108.2,40.4,46.0,82.6
1400573,12.5,97.7,1.5,51.0,130.2
1400574,11.0,98.9,8.0,42.0,77.2
1400575,8.3,133.7,13.2,55.0,97.2
1400576,1.0,84.5,5.0,19.0,69.6
1400577,2.8,106.4,10.6,28.0,107.6
1400578,9.0,86.0,1.8,30.0,108.7
1400579,10.3,124.6,0.5,32.0,84.0
