TestID,Capacity_kWh,AmbientTemp,Speed_kmh,Range_km,AC_On
710114,85,35.4,34.0,294.5,No
710115,60,7.6,129.6,189.7,Yes
710116,60,-3.4,71.6,268.8,No
710117,85,10.8,106.0,378.0,No
710118,85,-9.9,126.3,226.5,No
710119,75,-7.7,128.3,200.5,No
710120,85,17.9,64.1,457.1,No
710121,75,-8.9,92.4,327.4,No
710122,75,10.6,82.4,366.9,Yes
710123,75,6.2,85.8,314.5,Yes
710124,85,-5.6,59.3,281.1,Yes
710125,75,15.9,123.0,258.1,Yes
710126,75,-8.3,58.8,310.0,No
710127,60,6.1,120.1,251.5,No
710128,85,37.1,124.3,282.0,Yes
710129,75,10.3,97.0,393.0,No
710130,60,9.6,111.0,219.6,Yes
710131,75,17.0,46.4,351.5,No
710132,75,37.0,123.5,217.9,Yes
710133,60,30.4,62.9,288.9,No
710134,85,29.1,126.6,333.4,No
710135,85,7.0,61.1,341.1,Yes
710136,60,26.2,94.0,278.9,No
710137,75,18.3,67.4,397.9,Yes
710138,85,-6.4,62.6,361.6,No
710139,75,5.5,109.1,312.6,No
710140,75,0.5,100.2,322.4,No
710141,75,37.2,55.2,301.5,Yes
710142,75,24.0,107.3,328.6,No
710143,85,-9.7,125.9,260.8,No
710144,75,4.4,112.8,273.2,Yes
710145,60,-9.0,90.1,263.7,No
710146,75,2.7,43.0,289.9,No
710147,60,10.4,55.0,252.2,Yes
710148,60,-1.3,48.1,189.6,Yes
710149,75,22.9,77.8,354.0,Yes
710150,60,26.6,91.2,303.8,No
710151,75,0.6,43.9,278.3,No
710152,60,38.0,73.2,285.0,No
710153,100,19.6,74.1,511.0,Yes
710154,75,28.3,49.4,261.0,Yes
710155,75,0.6,76.5,370.4,No
710156,85,-3.1,99.5,310.8,Yes
710157,75,29.5,85.5,397.9,No
710158,75,25.8,63.2,368.3,No
710159,75,23.5,40.5,308.5,No
710160,100,10.1,53.4,441.3,No
710161,60,13.1,48.9,258.9,No
710162,75,26.5,109.7,287.1,Yes
710163,60,20.5,98.2,307.3,No
710164,60,-0.4,90.8,292.3,No
710165,85,0.2,85.4,404.3,No
710166,75,28.7,108.4,284.5,Yes
710167,85,16.0,44.1,344.1,Yes
710168,60,33.8,66.2,303.9,No
710169,100,32.5,86.0,499.6,No
710170,100,20.8,63.4,487.0,No
710171,85,7.7,40.4,321.6,No
710172,75,-2.6,50.6,239.6,Yes
710173,75,12.2,117.7,323.6,No
710174,75,12.5,79.5,346.8,Yes
710175,75,31.0,106.7,323.1,No
710176,75,26.0,96.4,366.6,No
710177,85,-5.7,98.4,352.3,No
710178,85,-7.9,30.0,272.1,No
710179,100,-4.8,124.2,277.3,Yes
710180,85,3.7,127.9,291.0,No
710181,85,-5.1,78.7,422.4,No
710182,75,13.3,88.0,339.5,Yes
710183,75,-5.4,95.4,286.0,Yes
710184,75,23.8,40.1,309.1,No
710185,85,-7.3,67.3,304.9,Yes
710186,75,14.8,126.3,300.9,No
710187,75,3.7,96.6,328.4,No
710188,85,0.2,88.3,424.8,No
710189,100,13.4,100.1,466.7,No
710190,60,27.5,41.9,236.9,Yes
710191,75,0.3,79.2,380.2,No
710192,75,3.6,100.9,334.4,No
710193,85,32.3,34.6,321.0,No
710194,75,21.8,107.5,369.8,No
710195,85,5.2,65.0,384.1,No
710196,85,2.8,110.8,355.9,No
710197,60,10.7,120.0,196.5,Yes
710198,60,20.8,79.2,334.2,No
710199,60,28.1,94.8,292.1,No
710200,75,9.2,41.6,237.9,Yes
710201,85,6.8,108.2,359.5,No
710202,100,8.3,64.0,481.0,No
710203,60,13.7,91.0,271.2,Yes
710204,85,2.9,105.5,311.2,Yes
710205,60,12.9,108.9,258.0,No
710206,75,-5.4,35.8,185.5,Yes
710207,60,32.0,112.0,220.0,Yes
710208,85,35.9,107.4,380.4,No
710209,60,13.8,76.4,300.4,Yes
710210,75,22.9,59.6,312.9,Yes
710211,75,0.7,93.8,334.3,No
710212,75,0.5,57.8,259.2,Yes
710213,85,34.6,68.5,421.8,No
710214,75,34.1,63.5,352.2,No
710215,75,1.5,50.9,255.4,Yes
710216,60,26.1,31.6,228.4,Yes
710217,100,7.6,98.2,416.4,Yes
710218,85,30.6,117.6,316.0,Yes
710219,60,19.8,52.9,284.1,No
710220,60,9.2,122.3,199.5,Yes
710221,100,-7.4,125.6,308.1,No
710222,85,11.7,94.3,409.6,Yes
710223,60,15.5,106.9,253.9,No
710224,100,33.6,120.3,334.2,Yes
710225,85,10.6,48.3,301.8,Yes
710226,60,32.5,113.5,251.0,No
710227,85,3.2,117.7,302.2,No
710228,85,13.7,42.8,320.3,Yes
710229,85,31.0,66.3,383.6,No
710230,75,30.7,71.5,383.5,No
710231,75,37.7,57.0,327.2,No
710232,85,1.9,38.9,262.9,Yes
710233,60,5.5,98.4,262.0,No
710234,75,16.6,62.2,406.2,No
710235,75,35.3,43.3,267.0,Yes
710236,75,23.4,117.2,278.0,Yes
710237,60,20.7,94.3,332.0,No
710238,85,36.5,115.7,260.1,Yes
710239,75,10.5,47.0,279.2,Yes
710240,75,7.0,64.6,332.1,Yes
710241,60,29.5,72.2,277.1,Yes
710242,85,-2.1,48.7,327.0,No
710243,75,7.9,38.2,281.3,No
710244,100,-8.9,33.0,283.0,No
710245,75,23.9,102.9,383.7,No
710246,75,11.5,32.9,292.2,No
710247,75,25.4,112.1,316.7,No
710248,60,11.5,94.6,270.1,Yes
710249,75,-3.9,106.9,277.2,No
710250,75,35.0,82.4,345.0,Yes
710251,75,8.9,34.8,246.8,Yes
710252,75,24.1,109.3,286.4,Yes
710253,60,31.7,98.8,295.3,No
710254,60,8.0,71.8,304.0,No
710255,100,-9.1,127.1,324.8,No
710256,85,32.3,67.9,433.5,No
710257,100,7.2,54.5,425.6,No
710258,60,28.4,83.2,326.7,No
710259,85,13.5,85.4,383.2,Yes
710260,85,-6.0,129.4,230.9,Yes
710261,75,16.7,113.3,359.9,No
710262,60,29.7,45.4,253.0,No
710263,75,23.9,79.9,413.3,No
710264,75,0.4,76.9,322.9,Yes
710265,60,14.0,99.9,249.6,Yes
710266,75,24.3,39.2,317.3,No
710267,75,-6.8,68.0,328.3,No
710268,75,6.1,60.1,320.0,No
710269,100,9.3,36.7,424.8,No
710270,85,24.5,55.4,429.7,No
710271,85,-6.7,58.2,268.2,Yes
710272,75,12.7,68.5,324.8,Yes
710273,100,-2.9,60.2,,Yes
710274,60,2.6,84.4,269.7,Yes
710275,85,28.2,74.1,454.1,No
710276,60,36.3,84.0,329.9,No
710277,85,-1.5,52.0,285.0,Yes
710278,75,11.4,63.1,356.8,No
710279,60,17.4,110.3,224.7,Yes
710280,75,12.8,65.2,,No
710281,100,4.3,90.8,474.5,No
710282,85,-6.5,62.6,283.3,Yes
710283,60,35.6,109.0,249.1,No
710284,60,1.9,32.7,224.6,No
710285,75,26.4,96.4,358.2,No
710286,60,37.9,91.2,269.5,No
710287,60,-4.6,128.4,185.2,No
710288,85,19.4,80.6,460.2,No
710289,75,-9.4,103.4,284.9,No
710290,85,30.5,46.2,301.3,Yes
710291,75,12.0,103.6,350.7,No
710292,75,-3.0,32.7,236.5,No
710293,100,29.3,125.3,384.2,No
710294,85,37.0,71.8,414.3,No
710295,85,4.2,69.0,424.9,No
710296,60,38.0,87.8,288.2,No
710297,60,9.8,58.3,250.5,No
710298,60,-2.0,76.9,283.8,No
710299,75,12.3,56.6,297.2,Yes
710300,75,-1.1,36.2,214.7,Yes
710301,85,2.5,35.4,253.4,Yes
710302,75,27.3,65.6,,Yes
710303,85,30.0,94.2,367.2,Yes
710304,75,33.9,31.6,250.7,No
710305,60,29.6,60.8,311.3,No
710306,85,33.2,34.4,316.8,No
710307,60,5.2,63.2,273.8,No
710308,75,16.0,119.3,305.4,No
710309,85,34.8,88.0,411.0,No
710310,75,-6.5,118.2,254.5,No
710311,75,12.7,43.1,303.8,Yes
710312,75,5.2,117.1,292.1,No
710313,85,36.1,118.4,328.2,No
710314,85,31.5,127.3,311.5,No
710315,75,6.7,107.3,321.6,No
710316,85,26.1,92.1,431.9,No
710317,75,11.9,77.9,404.7,No
710318,100,6.0,93.0,478.6,No
710319,85,10.5,120.2,337.0,No
710320,85,17.1,128.3,343.3,No
710321,60,3.1,119.5,238.7,No
710322,75,19.5,78.9,378.9,Yes
710323,60,2.6,63.3,273.6,No
710324,60,29.2,35.1,173.6,Yes
710325,85,4.3,119.1,340.2,No
710326,75,32.4,77.3,402.9,No
710327,100,29.9,86.2,452.5,Yes
710328,75,23.2,41.0,284.6,Yes
710329,85,-2.4,59.6,357.8,No
710330,75,12.4,118.4,305.5,No
710331,85,-1.8,115.6,317.6,No
710332,75,20.5,111.3,303.0,Yes
710333,100,9.1,38.0,378.6,No
710334,85,36.5,70.6,395.0,No
710335,60,31.5,114.2,261.4,No
710336,60,31.4,123.6,225.5,No
710337,60,21.5,90.4,316.2,No
710338,60,24.4,118.0,220.1,Yes
710339,75,5.3,116.0,273.3,No
710340,85,8.3,40.5,267.1,Yes
710341,85,-4.7,81.4,378.0,Yes
710342,85,21.1,56.4,401.4,No
710343,60,-4.8,47.5,162.1,Yes
710344,85,27.8,85.5,379.2,Yes
710345,60,-0.2,61.0,253.4,No
710346,75,19.7,82.7,442.0,No
710347,85,25.2,30.2,327.8,No
710348,85,-5.4,34.6,293.8,No
710349,75,28.5,30.2,,No
710350,75,16.0,105.0,349.0,No
710351,60,4.0,102.3,256.7,No
710352,60,24.6,50.6,,No
710353,60,15.3,68.8,310.3,No
710354,60,21.8,95.1,298.0,No
710355,85,17.2,128.3,310.3,Yes
710356,75,32.2,56.4,277.7,Yes
710357,85,14.0,128.4,330.2,No
710358,60,8.0,54.0,267.5,No
710359,85,-6.2,68.8,384.1,No
710360,60,24.8,95.1,326.4,No
710361,75,-8.1,103.2,270.5,No
710362,75,12.6,34.5,302.5,No
710363,85,30.4,68.2,392.6,Yes
710364,85,7.5,86.2,430.8,No
710365,75,6.5,74.6,319.7,Yes
710366,75,16.3,58.2,323.2,Yes
710367,75,29.1,96.7,358.8,No
710368,60,32.0,76.3,241.5,Yes
710369,75,8.2,51.6,321.8,No
710370,85,24.6,126.2,342.7,No
710371,75,10.7,87.4,333.8,Yes
710372,85,5.8,111.9,355.2,No
710373,75,-7.1,112.9,203.7,Yes
710374,85,5.9,45.5,284.2,Yes
710375,75,27.7,86.2,411.8,No
710376,85,-4.3,108.3,329.8,No
710377,75,13.6,84.7,381.4,No
710378,60,27.6,89.9,306.5,No
710379,60,35.6,103.4,256.2,No
710380,75,34.6,33.4,264.2,No
710381,75,32.8,55.6,333.2,No
710382,75,15.9,92.3,380.8,No
710383,85,8.0,52.4,372.4,No
710384,85,7.0,68.8,364.6,Yes
710385,75,28.5,60.5,320.2,Yes
710386,100,31.8,61.2,451.4,No
710387,100,14.9,110.8,400.8,Yes
710388,75,-8.4,100.1,,No
710389,75,30.6,47.5,305.7,No
710390,85,14.4,110.1,325.4,Yes
710391,85,10.6,121.9,292.9,Yes
710392,75,36.3,93.1,303.0,Yes
710393,85,18.0,116.2,310.4,Yes
710394,85,5.0,115.8,279.6,Yes
710395,75,24.0,59.0,351.8,No
710396,75,35.9,44.4,250.1,Yes
710397,85,-2.7,77.0,406.2,No
710398,75,30.9,49.0,322.8,No
710399,100,16.5,85.4,546.7,No
710400,60,8.4,108.5,242.5,Yes
710401,75,-4.6,47.5,269.4,No
710402,85,20.0,75.4,442.3,Yes
710403,85,11.2,119.8,341.5,No
710404,75,26.7,82.6,368.9,Yes
710405,75,16.3,44.1,297.4,No
710406,75,-2.8,88.9,357.1,No
710407,60,3.7,51.0,246.3,No
710408,75,31.2,100.5,317.9,Yes
710409,75,9.6,118.6,266.6,Yes
710410,85,8.5,86.6,412.2,No
710411,85,3.5,41.8,338.2,No
710412,75,34.2,82.1,382.6,No
710413,85,10.0,32.6,264.0,Yes
710414,85,29.7,124.3,288.0,Yes
710415,85,28.6,69.5,400.4,Yes
710416,100,26.0,60.6,427.1,Yes
710417,85,6.8,128.6,259.0,Yes
710418,75,17.4,129.4,287.7,Yes
710419,75,14.0,89.9,403.3,No
710420,85,27.6,62.9,374.9,Yes
710421,75,25.5,114.2,301.7,No
710422,60,33.2,48.1,269.4,No
710423,85,1.7,36.9,268.2,No
710424,75,21.3,106.6,336.2,Yes
710425,85,3.3,101.3,327.1,Yes
710426,60,-1.6,91.0,254.4,No
710427,75,20.7,40.9,350.0,No
710428,75,30.6,115.7,253.5,Yes
710429,60,20.5,84.3,295.5,Yes
710430,60,-5.0,37.1,192.2,No
710431,75,-2.5,103.1,245.1,Yes
710432,100,12.2,31.8,323.2,Yes
710433,60,10.4,116.1,250.4,No
710434,85,3.7,37.5,303.7,No
710435,75,-1.9,57.7,289.3,No
710436,75,-8.6,109.6,255.4,Yes
710437,60,-7.8,112.8,210.0,Yes
710438,75,3.9,38.6,221.4,Yes
710439,75,25.4,91.3,327.1,Yes
710440,85,33.2,118.5,350.8,No
710441,60,35.2,111.5,276.9,No
710442,75,-2.4,112.7,221.2,Yes
710443,75,-8.2,123.0,256.3,No
710444,75,32.7,58.8,298.2,Yes
710445,85,2.5,81.4,414.5,No
710446,100,15.8,34.8,368.0,Yes
710447,60,35.5,43.6,224.8,No
710448,75,15.4,106.4,329.1,No
710449,85,12.7,117.5,301.0,Yes
710450,75,2.4,89.8,364.5,No
710451,75,24.9,92.4,378.2,No
710452,75,13.0,100.1,360.9,No
710453,75,36.7,45.3,248.3,Yes
710454,60,26.1,53.5,245.4,Yes
710455,75,37.5,66.7,287.6,Yes
710456,60,19.2,54.3,293.3,No
710457,100,36.6,88.8,471.2,No
710458,75,28.2,42.9,284.7,Yes
710459,85,-7.0,66.8,371.4,No
710460,100,7.6,112.8,427.8,No
710461,85,28.2,67.0,455.2,No
710462,75,6.6,44.2,306.9,No
710463,100,21.0,128.8,395.6,No
710464,60,-6.4,102.8,247.6,No
710465,60,2.1,82.1,293.9,No
710466,100,19.0,60.7,516.0,No
710467,60,31.4,81.2,334.7,No
710468,60,0.8,88.2,228.3,Yes
710469,85,24.1,75.9,431.6,Yes
710470,75,37.0,101.2,331.7,No
710471,100,16.2,30.9,365.8,No
710472,60,30.8,42.8,232.8,No
710473,60,4.7,105.2,262.2,No
710474,75,2.9,93.1,360.7,No
710475,75,18.6,49.7,344.1,No
710476,100,8.8,58.6,426.1,Yes
710477,100,19.0,126.9,355.4,Yes
710478,85,11.7,100.7,333.2,Yes
710479,75,32.4,78.7,405.7,Yes
710480,75,7.4,88.3,350.5,Yes
710481,85,3.0,84.7,396.3,No
710482,75,-4.2,113.7,293.4,No
710483,75,36.8,125.4,265.3,No
710484,75,0.4,33.1,230.6,No
710485,85,17.3,96.8,433.5,No
710486,75,9.7,127.2,228.8,Yes
710487,75,33.5,30.0,191.1,Yes
710488,75,10.3,59.2,351.6,No
710489,60,30.6,121.8,249.5,No
710490,85,22.3,83.6,503.6,No
710491,60,6.7,108.7,250.7,No
710492,60,21.8,40.8,,No
710493,75,26.7,120.8,244.8,Yes
710494,60,-7.3,69.2,244.7,No
710495,85,10.6,66.4,408.7,No
710496,75,7.7,72.6,348.1,Yes
710497,75,24.2,70.1,344.7,Yes
710498,75,-6.7,101.9,273.4,No
710499,85,18.2,116.0,317.4,Yes
710500,75,30.1,76.7,396.5,No
710501,75,20.6,85.0,351.3,Yes
710502,75,23.8,75.4,394.6,No
710503,75,0.4,72.1,352.9,No
710504,75,-2.6,92.9,334.7,No
710505,60,35.4,72.4,270.0,Yes
710506,85,-2.0,129.9,209.6,Yes
710507,75,18.6,84.6,438.2,No
710508,100,28.4,104.2,397.7,Yes
710509,60,28.4,72.9,312.1,No
710510,85,13.6,66.7,385.8,Yes
710511,75,15.2,98.9,380.5,No
710512,75,27.9,57.0,349.4,No
710513,75,4.6,61.8,346.7,No
710514,60,-8.0,121.3,214.9,No
710515,75,27.9,61.8,360.3,No
710516,85,-1.6,73.4,357.9,Yes
710517,85,10.0,109.9,397.3,No
710518,85,31.6,86.7,437.8,No
710519,60,14.4,85.9,282.9,Yes
710520,85,15.1,44.9,296.8,Yes
710521,60,15.8,32.2,244.2,Yes
710522,85,13.3,99.7,407.3,No
710523,60,-7.0,41.2,200.3,No
710524,60,-4.5,73.7,272.1,No
710525,85,33.5,50.6,379.1,No
710526,60,-5.1,109.1,184.9,Yes
710527,85,22.5,32.5,337.5,No
710528,75,7.6,120.6,246.3,Yes
710529,60,13.3,99.7,291.0,No
710530,75,-1.5,53.0,230.9,Yes
710531,75,11.5,124.0,314.2,No
710532,75,-3.1,110.9,293.6,No
710533,60,33.8,82.5,282.1,Yes
710534,75,8.5,51.5,299.0,No
710535,85,3.4,89.6,361.9,Yes
710536,60,0.8,106.8,252.7,No
710537,75,-1.5,96.5,326.7,No
710538,60,18.1,114.9,243.0,No
710539,75,38.0,129.2,225.9,Yes
710540,60,11.7,111.0,241.8,Yes
710541,75,26.3,91.5,369.1,Yes
710542,75,14.6,55.7,308.7,Yes
710543,100,7.9,48.9,419.1,No
710544,75,23.4,59.1,366.5,No
710545,85,32.8,89.4,420.4,No
710546,85,31.2,75.8,444.2,No
710547,75,-7.0,33.1,220.0,No
710548,60,32.5,113.3,257.6,No
710549,75,7.6,96.1,357.5,No
710550,85,37.4,76.9,427.4,No
710551,75,-8.7,115.8,249.9,No
710552,75,17.8,110.6,358.0,No
710553,85,32.2,124.3,287.4,Yes
710554,75,12.4,113.5,276.7,Yes
710555,100,11.2,34.0,309.3,Yes
710556,60,24.0,77.1,329.0,No
710557,75,30.6,121.1,282.8,No
710558,60,7.3,64.3,242.2,Yes
710559,85,5.8,39.6,327.7,No
710560,75,12.6,39.2,303.4,No
710561,75,11.0,31.5,279.0,No
710562,85,4.9,109.6,348.3,No
710563,85,19.7,30.9,293.3,Yes
710564,85,25.7,88.2,406.8,Yes
710565,85,33.6,79.0,413.2,Yes
710566,75,26.9,102.9,322.5,Yes
710567,100,32.6,68.8,473.0,No
710568,75,7.7,123.2,270.9,No
710569,85,36.8,72.2,355.6,Yes
710570,60,14.4,39.2,244.8,Yes
710571,75,9.2,39.2,310.2,No
710572,75,21.6,72.5,405.0,No
710573,85,35.5,62.3,401.1,No
710574,75,-2.9,128.0,225.5,No
710575,75,0.4,104.3,303.5,No
710576,75,34.7,82.4,331.9,Yes
710577,75,3.3,99.7,349.5,No
710578,85,-2.6,127.8,229.7,Yes
710579,100,0.7,62.4,374.4,Yes
710580,75,30.9,69.0,395.9,No
710581,85,29.3,114.1,351.5,No
710582,60,36.9,99.0,254.6,Yes
710583,75,15.3,52.8,351.8,No
710584,75,16.5,106.3,309.4,Yes
710585,75,15.8,91.1,402.3,No
710586,75,-7.9,105.6,273.9,No
710587,60,24.9,100.0,254.3,Yes
710588,60,37.3,127.6,229.3,No
710589,100,9.9,59.1,455.3,No
710590,85,25.5,53.9,401.8,No
710591,100,32.2,38.1,330.4,Yes
710592,60,37.2,125.7,181.6,Yes
710593,75,37.7,73.7,345.1,No
710594,60,18.8,81.8,317.6,Yes
710595,75,29.6,40.7,275.5,Yes
710596,60,13.8,75.7,319.6,No
710597,75,-4.8,110.3,287.8,No
710598,75,31.9,55.5,274.8,Yes
710599,85,34.6,79.0,417.6,No
710600,100,5.8,54.9,369.6,Yes
710601,75,3.4,114.2,280.6,Yes
710602,100,11.5,105.7,439.9,No
710603,60,23.7,107.1,293.4,No
710604,60,7.6,121.5,218.3,No
710605,75,-2.4,82.8,362.1,No
710606,85,9.0,52.7,383.3,No
710607,75,-2.4,124.4,261.9,No
710608,75,-0.7,45.2,242.4,Yes
710609,60,19.5,31.1,176.4,Yes
710610,75,15.4,108.0,332.8,No
710611,75,22.6,123.1,324.1,No
710612,100,-2.5,105.3,415.3,No
710613,75,36.3,73.2,339.0,Yes
710614,75,33.1,42.7,280.8,No
710615,75,18.7,95.3,337.7,Yes
710616,60,7.3,103.8,263.3,No
710617,85,-8.3,45.5,253.6,Yes
710618,100,3.7,116.8,336.7,Yes
710619,85,10.6,128.2,248.2,Yes
710620,85,2.0,32.3,252.2,Yes
710621,75,37.6,50.8,267.5,Yes
710622,85,22.8,64.9,,Yes
710623,60,5.3,78.8,346.9,No
710624,60,21.7,124.8,264.0,No
710625,75,22.0,58.1,371.5,No
710626,100,11.3,34.4,377.9,No
710627,85,30.4,121.8,325.1,No
710628,75,7.1,94.5,344.9,No
710629,75,-5.0,110.8,301.3,No
710630,60,-1.9,32.2,179.3,No
710631,100,-4.3,118.1,299.5,Yes
710632,100,31.1,129.1,383.0,No
710633,100,5.2,56.5,442.8,No
710634,85,19.7,112.5,407.9,No
710635,75,31.9,72.6,358.2,Yes
710636,85,7.6,80.0,462.1,No
710637,85,17.1,66.5,470.9,No
710638,75,-0.5,96.4,279.0,Yes
710639,60,19.1,108.9,300.1,No
710640,60,24.6,52.9,258.5,Yes
710641,75,-5.4,63.6,266.5,Yes
710642,85,-4.7,92.3,360.8,No
710643,85,14.8,51.7,409.7,No
710644,60,34.0,41.7,221.7,No
710645,75,1.6,59.8,319.5,No
710646,75,16.1,117.2,257.2,Yes
710647,75,5.3,63.9,348.0,No
710648,75,2.8,58.4,284.9,Yes
710649,85,37.1,44.3,284.2,Yes
710650,75,14.6,60.7,351.1,No
710651,75,-4.5,105.6,273.4,No
710652,85,23.0,38.8,303.7,Yes
710653,75,18.4,118.0,334.3,No
710654,85,25.3,109.4,388.7,No
710655,85,12.7,106.4,334.7,Yes
710656,60,30.7,55.6,251.4,No
710657,85,15.7,67.2,457.9,No
710658,75,5.5,39.9,284.6,No
710659,75,35.0,83.7,359.9,No
710660,75,27.8,97.5,365.7,No
710661,60,19.2,82.4,336.7,No
710662,60,16.6,100.5,241.6,Yes
710663,60,-9.8,30.0,185.9,No
710664,85,16.1,68.1,441.7,No
710665,60,-9.8,69.4,249.4,No
710666,60,19.3,76.6,332.7,No
710667,60,-3.0,53.3,241.7,No
710668,75,-8.2,91.6,331.3,No
710669,60,16.1,61.4,307.7,No
710670,75,31.8,111.5,316.2,No
710671,75,0.4,77.3,343.1,No
710672,85,5.2,64.8,337.2,Yes
710673,85,11.1,95.1,401.5,No
710674,75,4.2,111.9,315.2,No
710675,60,18.3,109.4,260.3,Yes
710676,75,8.2,32.9,281.8,No
710677,60,18.8,116.1,215.0,Yes
710678,75,30.3,111.0,280.1,Yes
710679,75,-3.2,60.2,254.3,Yes
710680,100,11.8,94.1,510.8,No
710681,85,5.9,103.7,365.9,No
710682,75,8.1,63.3,293.7,Yes
710683,75,30.4,110.3,313.2,No
710684,60,27.4,112.1,250.6,No
710685,85,-9.7,46.9,317.5,No
710686,85,34.5,84.4,429.6,No
710687,75,37.6,61.3,333.2,No
710688,75,31.7,95.0,327.2,Yes
710689,75,-0.1,102.2,317.7,No
710690,75,17.8,110.5,333.0,No
710691,60,32.7,33.5,183.3,Yes
710692,75,2.4,98.0,344.9,No
710693,60,16.0,31.3,,No
710694,85,8.6,89.5,368.5,Yes
710695,60,14.9,49.0,229.7,Yes
710696,100,2.7,60.0,387.0,Yes
710697,75,14.4,56.4,327.6,Yes
710698,75,34.8,123.2,282.6,No
710699,75,6.7,32.9,262.6,No
710700,60,-8.5,120.6,158.0,Yes
